,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.5,258.92,-191.78,-20.59,-167.74,137.42
00:05.6,260.84,-189.91,-20.17,-168.05,139.39
00:05.6,262.79,-188,-19.76,-168.28,141.39
00:05.7,264.77,-186.07,-19.36,-168.65,143.42
00:05.7,266.78,-184.11,-18.97,-169.07,145.4
00:05.8,268.81,-182.12,-18.58,-169.32,147.32
00:05.8,270.87,-180.11,-18.2,-169.45,149.28
00:05.8,272.96,-178.06,-17.81,-169.46,151.12
00:05.9,275.07,-175.99,-17.42,-169.33,152.99
00:05.9,277.2,-173.9,-17.03,-169.1,154.86
00:06.0,279.37,-171.78,-16.62,-168.87,156.68
00:06.0,281.56,-169.64,-16.2,-168.68,158.46
00:06.1,283.77,-167.48,-15.77,-168.43,160.18
00:06.2,286.01,-165.29,-15.33,-168.19,161.8
00:06.2,288.27,-163.08,-14.87,-167.96,163.51
00:06.2,290.55,-160.86,-14.4,-167.61,165.26
00:06.3,292.85,-158.61,-13.91,-167.2,166.94
00:06.4,295.18,-156.34,-13.4,-166.85,168.58
00:06.4,297.54,-154.06,-12.88,-166.62,170.19
00:06.4,299.91,-151.75,-12.34,-166.44,171.77
00:06.5,302.31,-149.43,-11.78,-166.28,173.35
00:06.6,304.73,-147.08,-11.21,-166.13,174.95
00:06.6,307.17,-144.72,-10.63,-166.05,176.48
00:06.7,309.63,-142.34,-10.04,-166.03,177.98
00:06.7,312.11,-139.94,-9.45,-166.05,179.44
00:06.8,314.62,-137.52,-8.85,-166.1,180.88
00:06.8,317.14,-135.08,-8.24,-166.17,182.35
00:06.8,319.68,-132.62,-7.64,-166.25,183.81
00:06.9,322.24,-130.14,-7.03,-166.33,185.23
00:07.0,324.83,-127.64,-6.42,-166.37,186.61
00:07.0,327.43,-125.12,-5.8,-166.38,187.98
00:07.0,330.05,-122.59,-5.19,-166.4,189.36
00:07.1,332.69,-120.03,-4.57,-166.41,190.7
00:07.1,335.34,-117.46,-3.94,-166.43,191.98
00:07.2,338.02,-114.87,-3.32,-166.42,193.18
00:07.3,340.71,-112.26,-2.69,-166.4,194.5
00:07.3,343.42,-109.64,-2.05,-166.35,195.88
00:07.3,346.15,-106.99,-1.41,-166.27,197.19
00:07.4,348.9,-104.33,-0.76,-166.17,198.45
00:07.5,351.66,-101.66,-0.1,-166.09,199.67
00:07.5,354.45,-98.97,0.56,-166.01,200.89
00:07.5,357.25,-96.26,1.23,-165.95,202.11
00:07.6,360.06,-93.54,1.91,-165.88,203.31
00:07.6,362.89,-90.81,2.6,-165.78,204.52
00:07.7,365.74,-88.05,3.29,-165.69,205.71
00:07.8,368.61,-85.29,4,-165.6,206.88
00:07.8,371.49,-82.51,4.71,-165.49,208.02
00:07.8,374.38,-79.71,5.43,-165.36,209.15
00:07.9,377.3,-76.91,6.15,-165.29,210.26
00:08.0,380.22,-74.08,6.89,-165.18,211.4
00:08.0,383.17,-71.25,7.64,-165.05,212.54
00:08.1,386.13,-68.4,8.39,-164.98,213.61
00:08.1,389.1,-65.54,9.15,-164.93,214.67
00:08.1,392.09,-62.66,9.92,-164.86,215.73
00:08.2,395.1,-59.77,10.7,-164.77,216.8
00:08.3,398.11,-56.87,11.48,-164.69,217.87
00:08.3,401.15,-53.95,12.28,-164.67,218.93
00:08.3,404.2,-51.03,13.07,-164.72,219.96
00:08.4,407.26,-48.08,13.87,-164.81,220.98
00:08.4,410.33,-45.13,14.68,-164.93,221.99
00:08.5,413.42,-42.16,15.48,-165.04,222.98
00:08.6,416.53,-39.17,16.28,-165.18,223.98
00:08.6,419.65,-36.17,17.07,-165.32,224.94
00:08.7,422.78,-33.16,17.87,-165.47,225.9
00:08.7,425.92,-30.13,18.66,-165.6,226.84
00:08.8,429.08,-27.09,19.44,-165.7,227.78
00:08.8,432.25,-24.03,20.23,-165.75,228.72
00:08.8,435.43,-20.96,21.01,-165.72,229.67
00:08.9,438.63,-17.88,21.8,-165.63,230.61
00:08.9,441.84,-14.78,22.6,-165.5,231.53
00:09.0,445.06,-11.68,23.4,-165.33,232.43
00:09.0,448.29,-8.56,24.21,-165.05,233.3
00:09.1,451.54,-5.44,25.04,-164.68,234.17
00:09.2,454.8,-2.3,25.88,-164.14,235.05
00:09.2,458.07,0.84,26.75,-163.55,235.92
00:09.3,461.35,3.98,27.65,-163.06,236.76
00:09.3,464.64,7.13,28.58,-162.67,237.59
00:09.3,467.95,10.28,29.53,-162.3,238.41
00:09.4,471.27,13.43,30.52,-161.81,239.21
00:09.5,474.59,16.58,31.53,-161.12,240.03
00:09.5,477.93,19.74,32.57,-160.54,240.83
00:09.6,481.28,22.9,33.65,-160.16,241.62
00:09.6,484.64,26.06,34.75,-159.86,242.41
00:09.7,488.02,29.22,35.89,-159.51,243.17
00:09.7,491.4,32.38,37.05,-158.92,243.9
00:09.8,494.79,35.54,38.23,-157.99,244.61
