,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.8,1143.64,345.03,-48.5,160.75,135.44
00:05.8,1145.51,346.81,-49.07,159.75,134.57
00:05.8,1147.37,348.58,-49.67,159.23,133.74
00:05.9,1149.22,350.32,-50.29,158.11,132.92
00:05.9,1151.07,352.04,-50.94,156.25,132.11
00:06.0,1152.89,353.74,-51.63,154.63,131.34
00:06.0,1154.71,355.41,-52.35,153.46,130.56
00:06.1,1156.52,357.05,-53.1,152.25,129.82
00:06.2,1158.31,358.67,-53.89,150.96,129.18
00:06.2,1160.1,360.26,-54.7,149.73,128.69
00:06.2,1161.89,361.83,-55.55,148.43,128.33
00:06.3,1163.67,363.38,-56.43,147.11,128.05
00:06.4,1165.44,364.91,-57.34,145.9,127.89
00:06.4,1167.22,366.41,-58.29,144.88,127.72
00:06.4,1168.99,367.89,-59.27,143.98,127.55
00:06.5,1170.76,369.34,-60.27,143.1,127.44
00:06.6,1172.53,370.78,-61.31,142.27,127.37
00:06.6,1174.29,372.2,-62.36,141.1,127.25
00:06.7,1176.06,373.59,-63.45,139.66,127.13
00:06.7,1177.82,374.96,-64.56,138.22,127.12
00:06.8,1179.59,376.31,-65.7,136.88,127.25
00:06.8,1181.36,377.63,-66.88,135.66,127.54
00:06.8,1183.13,378.93,-68.09,134.44,127.97
00:06.9,1184.91,380.2,-69.33,133.23,128.49
00:07.0,1186.7,381.46,-70.61,132.08,129.06
00:07.0,1188.5,382.7,-71.91,130.79,129.67
00:07.0,1190.3,383.91,-73.24,129.6,130.38
00:07.1,1192.11,385.11,-74.61,128.49,131.02
00:07.1,1193.94,386.28,-76.01,127.16,131.71
00:07.2,1195.78,387.43,-77.44,126.1,132.57
00:07.3,1197.62,388.55,-78.9,125.77,133.34
00:07.3,1199.47,389.67,-80.39,125.37,133.94
00:07.3,1201.34,390.77,-81.89,124.21,134.59
00:07.4,1203.22,391.85,-83.42,122.93,135.5
00:07.5,1205.1,392.92,-84.98,122.25,136.43
00:07.5,1207,393.96,-86.57,121.88,137.26
00:07.5,1208.92,394.99,-88.18,121.33,138.16
00:07.6,1210.84,396,-89.82,120.66,139.13
00:07.6,1212.78,397.01,-91.47,119.86,140.1
00:07.7,1214.73,398.01,-93.15,118.94,141.1
00:07.8,1216.7,398.99,-94.86,117.92,142.16
00:07.8,1218.68,399.96,-96.59,117.11,143.37
00:07.8,1220.68,400.9,-98.35,116.49,144.49
00:07.9,1222.69,401.82,-100.14,115.75,145.59
00:08.0,1224.72,402.73,-101.96,114.86,146.71
00:08.0,1226.77,403.61,-103.8,113.91,147.81
00:08.1,1228.83,404.48,-105.67,112.92,148.86
00:08.1,1230.9,405.32,-107.57,111.85,149.89
00:08.1,1232.99,406.14,-109.49,110.71,150.88
00:08.2,1235.09,406.92,-111.44,109.63,151.87
00:08.3,1237.21,407.68,-113.42,108.59,152.76
00:08.3,1239.33,408.42,-115.41,107.39,153.58
00:08.3,1241.47,409.12,-117.43,106.17,154.43
00:08.4,1243.62,409.8,-119.47,105.12,155.25
00:08.4,1245.78,410.44,-121.54,104.18,156.03
00:08.5,1247.95,411.05,-123.62,103.22,156.79
00:08.6,1250.13,411.62,-125.73,102.26,157.59
00:08.6,1252.33,412.17,-127.85,101.41,158.45
00:08.7,1254.53,412.68,-130,100.8,159.39
00:08.7,1256.75,413.17,-132.17,100.38,160.38
00:08.8,1258.99,413.62,-134.36,99.91,161.3
00:08.8,1261.23,414.04,-136.56,99.19,162.24
00:08.8,1263.49,414.44,-138.79,98.33,163.16
00:08.9,1265.76,414.81,-141.03,97.26,163.99
00:08.9,1268.05,415.15,-143.29,95.93,164.87
00:09.0,1270.34,415.45,-145.56,94.84,165.79
00:09.0,1272.65,415.72,-147.86,93.95,166.56
00:09.1,1274.97,415.95,-150.16,92.94,167.35
00:09.2,1277.3,416.15,-152.48,92.06,168.2
00:09.2,1279.64,416.31,-154.82,91.26,169.04
00:09.3,1281.99,416.44,-157.17,90.48,169.94
00:09.3,1284.36,416.53,-159.54,89.85,170.84
00:09.3,1286.73,416.58,-161.91,89.3,171.65
00:09.4,1289.12,416.61,-164.3,88.54,172.45
00:09.5,1291.52,416.6,-166.7,87.69,173.3
00:09.5,1293.94,416.56,-169.12,86.81,174.1
00:09.6,1296.36,416.48,-171.54,85.87,174.94
00:09.6,1298.79,416.37,-173.97,85.05,175.8
00:09.7,1301.24,416.22,-176.41,84.31,176.58
00:09.7,1303.7,416.03,-178.86,83.53,177.35
00:09.8,1306.17,415.81,-181.32,82.67,178.1
00:09.8,1308.64,415.55,-183.79,81.74,178.84
00:09.8,1311.13,415.26,-186.26,80.83,179.58
00:09.9,1313.63,414.94,-188.74,79.79,180.24
00:10.0,1316.14,414.58,-191.22,78.56,180.93
00:10.0,1318.65,414.17,-193.71,77.47,181.71
00:10.1,1321.18,413.72,-196.19,76.66,182.38
00:10.1,1323.72,413.24,-198.68,75.79,182.93
00:10.2,1326.26,412.71,-201.17,74.93,183.47
00:10.2,1328.81,412.15,-203.66,74.13,183.97
00:10.2,1331.37,411.54,-206.15,73.13,184.48
00:10.3,1333.93,410.89,-208.63,72.3,185.03
00:10.4,1336.5,410.2,-211.11,71.65,185.45
00:10.4,1339.08,409.47,-213.58,70.7,185.86
00:10.5,1341.66,408.7,-216.05,69.53,186.31
00:10.5,1344.25,407.89,-218.51,68.61,186.67
00:10.6,1346.84,407.04,-220.96,67.76,186.63
00:10.6,1349.43,406.14,-223.39,66.73,186.18
00:10.7,1352.01,405.21,-225.79,65.7,185.51
00:10.7,1354.58,404.24,-228.17,64.84,184.47
00:10.7,1357.14,403.24,-230.52,63.96,183.25
00:10.8,1359.67,402.21,-232.84,63.28,182.04
00:10.9,1362.19,401.15,-235.13,63.06,180.76
00:10.9,1364.69,400.07,-237.38,62.55,179.17
00:11.0,1367.16,398.98,-239.6,61.62,177.31
00:11.0,1369.61,397.87,-241.79,61.06,175.35
00:11.1,1372.03,396.75,-243.93,61.01,173.32
00:11.1,1374.42,395.62,-246.04,60.73,171.08
00:11.2,1376.78,394.49,-248.12,59.96,168.73
00:11.2,1379.11,393.36,-250.15,59.33,166.15
00:11.3,1381.4,392.23,-252.14,58.96,163.48
00:11.3,1383.65,391.1,-254.08,58.48,160.7
00:11.4,1385.87,389.97,-255.99,58.05,158.03
00:11.4,1388.04,388.84,-257.85,57.67,155.27
00:11.5,1390.18,387.71,-259.66,57.18,152.47
00:11.5,1392.27,386.59,-261.44,56.65,149.76
00:11.6,1394.34,385.48,-263.18,56.05,147.19
00:11.6,1396.36,384.38,-264.88,55.44,144.76
00:11.6,1398.36,383.29,-266.54,54.86,142.19
00:11.7,1400.31,382.2,-268.17,54.32,139.5
00:11.7,1402.23,381.11,-269.75,54.01,136.56
00:11.8,1404.11,380.04,-271.29,54.1,133.57
00:11.8,1405.94,378.99,-272.79,54.23,130.73
00:11.9,1407.74,377.95,-274.26,54.32,128.08
00:11.9,1409.5,376.93,-275.69,54.51,125.32
00:12.0,1411.22,375.93,-277.1,54.72,122.44
00:12.0,1412.9,374.96,-278.47,54.94,119.6
00:12.1,1414.54,374.02,-279.81,55.31,116.93
00:12.2,1416.15,373.1,-281.13,55.76,114.44
00:12.2,1417.72,372.21,-282.43,56.37,112.1
00:12.3,1419.26,371.35,-283.71,57,109.87
00:12.3,1420.78,370.52,-284.97,57.61,107.84
00:12.4,1422.26,369.72,-286.22,58.3,105.95
00:12.4,1423.72,368.95,-287.46,59.17,104.19
00:12.4,1425.16,368.22,-288.7,60.23,102.65
00:12.5,1426.57,367.51,-289.93,61.39,101.23
00:12.6,1427.97,366.84,-291.15,62.64,99.79
00:12.6,1429.34,366.21,-292.37,64.04,98.24
00:12.7,1430.7,365.61,-293.58,65.49,96.55
00:12.7,1432.02,365.05,-294.79,66.88,94.74
00:12.8,1433.33,364.53,-295.98,68.33,92.87
00:12.8,1434.6,364.04,-297.16,69.93,91.05
00:12.9,1435.85,363.59,-298.33,71.54,89.28
00:12.9,1437.08,363.18,-299.49,72.91,87.64
00:12.9,1438.29,362.8,-300.63,74.18,86.07
00:13.0,1439.47,362.46,-301.77,75.51,84.52
00:13.1,1440.63,362.15,-302.89,76.79,83.05
00:13.1,1441.78,361.88,-304,77.97,81.72
00:13.1,1442.9,361.64,-305.1,79.27,80.37
00:13.2,1444.01,361.43,-306.19,80.87,79.17
00:13.2,1445.1,361.26,-307.27,82.61,78.02
00:13.3,1446.18,361.13,-308.34,84.32,77.02
00:13.3,1447.24,361.03,-309.39,86,76.14
00:13.4,1448.3,360.97,-310.44,87.81,75.28
00:13.4,1449.34,360.94,-311.48,89.81,74.61
00:13.5,1450.37,360.94,-312.52,91.74,73.99
00:13.6,1451.39,360.98,-313.54,93.62,73.39
00:13.6,1452.41,361.06,-314.55,95.52,72.91
00:13.6,1453.42,361.16,-315.56,97.53,72.46
00:13.7,1454.43,361.3,-316.55,99.56,72.22
00:13.8,1455.43,361.48,-317.54,101.41,72.25
00:13.8,1456.44,361.69,-318.52,103.11,72.27
00:13.9,1457.44,361.93,-319.49,105,72.42
00:13.9,1458.45,362.21,-320.46,107.06,72.76
00:14.0,1459.47,362.53,-321.42,109.23,73.22
00:14.0,1460.49,362.88,-322.38,111.35,73.76
00:14.1,1461.52,363.26,-323.34,113.34,74.37
00:14.1,1462.56,363.68,-324.29,115.15,74.92
00:14.2,1463.6,364.13,-325.23,116.95,75.53
00:14.2,1464.65,364.61,-326.17,118.66,76.06
00:14.3,1465.71,365.11,-327.1,120.36,76.56
00:14.3,1466.78,365.64,-328.02,122.45,76.93
00:14.3,1467.85,366.2,-328.94,124.93,77.33
00:14.4,1468.93,366.79,-329.84,127.12,77.9
00:14.5,1470.01,367.41,-330.73,128.7,78.49
00:14.5,1471.11,368.07,-331.6,130,79.14
00:14.6,1472.21,368.78,-332.45,130.91,79.81
00:14.6,1473.32,369.5,-333.3,131.61,80.49
00:14.6,1474.44,370.25,-334.13,132.63,81.12
00:14.7,1475.58,371.03,-334.95,134.26,81.83
00:14.7,1476.72,371.83,-335.76,136.02,82.48
00:14.8,1477.87,372.66,-336.56,137.74,83.25
00:14.8,1479.03,373.52,-337.35,139.35,84.04
00:14.9,1480.2,374.4,-338.12,140.78,84.96
00:14.9,1481.39,375.32,-338.87,142,85.85
00:15.0,1482.59,376.26,-339.61,143.21,86.68
00:15.0,1483.79,377.23,-340.34,144.58,87.51
00:15.1,1485.01,378.21,-341.06,146,88.27
00:15.1,1486.25,379.22,-341.76,147.23,89.14
00:15.2,1487.49,380.26,-342.46,148.32,90.07
00:15.2,1488.75,381.32,-343.13,149.3,91.08
00:15.3,1490.02,382.41,-343.79,150.15,92.31
00:15.3,1491.31,383.52,-344.45,150.99,93.58
00:15.4,1492.62,384.66,-345.09,151.9,94.88
00:15.4,1493.95,385.83,-345.72,152.7,96.26
00:15.5,1495.29,387.02,-346.34,153.47,97.6
00:15.6,1496.66,388.24,-346.96,154.45,98.87
00:15.6,1498.04,389.48,-347.56,155.52,100.12
00:15.7,1499.44,390.75,-348.15,156.42,101.43
00:15.7,1500.86,392.05,-348.73,157.25,102.7
00:15.8,1502.29,393.36,-349.29,158.12,103.86
00:15.8,1503.74,394.7,-349.85,159,105.03
00:15.9,1505.21,396.07,-350.39,159.76,106.28
00:15.9,1506.69,397.45,-350.92,160.35,107.63
00:16.0,1508.2,398.87,-351.44,160.91,108.98
00:16.0,1509.72,400.3,-351.95,161.54,110.33
00:16.1,1511.26,401.76,-352.45,162.2,111.66
00:16.1,1512.82,403.24,-352.94,162.9,112.89
00:16.1,1514.39,404.74,-353.42,163.68,114.08
00:16.2,1515.99,406.27,-353.88,164.52,115.35
00:16.3,1517.6,407.81,-354.33,165.24,116.73
00:16.3,1519.23,409.38,-354.77,165.68,118.17
00:16.3,1520.88,410.98,-355.19,165.99,119.59
00:16.4,1522.55,412.6,-355.61,166.31,120.93
00:16.5,1524.24,414.24,-356.02,166.65,122.22
00:16.5,1525.95,415.89,-356.43,167.02,123.49
00:16.6,1527.67,417.57,-356.83,167.45,124.77
00:16.6,1529.41,419.27,-357.22,167.88,126.12
00:16.6,1531.17,420.99,-357.6,168.24,127.48
00:16.7,1532.95,422.73,-357.97,168.61,128.76
00:16.7,1534.75,424.49,-358.34,168.97,130.11
00:16.8,1536.57,426.27,-358.7,169.17,131.53
00:16.9,1538.4,428.07,-359.06,169.15,132.8
00:16.9,1540.25,429.88,-359.42,168.94,134.02
00:16.9,1542.13,431.72,-359.78,168.54,135.38
00:17.0,1544.01,433.57,-360.16,168,136.63
00:17.0,1545.92,435.43,-360.56,167.29,137.86
00:17.1,1547.84,437.31,-360.97,166.54,139.12
00:17.1,1549.78,439.2,-361.41,165.77,140.29
00:17.2,1551.74,441.1,-361.88,164.97,141.45
00:17.3,1553.71,443.01,-362.37,164.14,142.57
00:17.3,1555.7,444.93,-362.89,163.21,143.63
00:17.4,1557.7,446.86,-363.43,162.17,144.75
00:17.4,1559.72,448.79,-364.01,161.25,145.88
00:17.5,1561.75,450.73,-364.62,160.38,146.91
00:17.5,1563.8,452.68,-365.26,159.53,147.98
00:17.6,1565.86,454.62,-365.94,158.63,149.01
00:17.6,1567.94,456.58,-366.65,157.68,150.07
00:17.6,1570.03,458.53,-367.4,156.81,151.16
00:17.7,1572.13,460.48,-368.18,156.11,152.22
00:17.7,1574.25,462.44,-369,155.51,153.22
00:17.8,1576.39,464.4,-369.85,154.88,154.13
00:17.8,1578.53,466.36,-370.72,153.93,154.9
00:17.9,1580.69,468.32,-371.62,152.58,155.79
00:17.9,1582.86,470.28,-372.56,151.33,156.77
00:18.0,1585.04,472.23,-373.54,150.52,157.77
00:18.0,1587.24,474.18,-374.56,150.04,158.67
00:18.1,1589.45,476.12,-375.61,149.43,159.44
00:18.1,1591.67,478.06,-376.69,148.52,160.27
00:18.2,1593.9,480,-377.8,147.41,161.09
00:18.3,1596.14,481.93,-378.94,146.23,161.94
00:18.3,1598.39,483.84,-380.13,145.11,162.81
00:18.4,1600.66,485.75,-381.36,144.22,163.58
00:18.4,1602.93,487.64,-382.62,143.46,164.21
00:18.4,1605.22,489.52,-383.92,142.42,164.82
00:18.5,1607.51,491.39,-385.25,141.27,165.53
00:18.6,1609.81,493.25,-386.62,140.44,166.24
00:18.6,1612.12,495.08,-388.02,139.77,166.8
00:18.6,1614.44,496.9,-389.46,139,167.36
00:18.7,1616.77,498.71,-390.93,138.3,167.96
00:18.7,1619.11,500.51,-392.43,137.7,168.56
00:18.8,1621.45,502.28,-393.95,137.22,169.12
00:18.8,1623.8,504.05,-395.51,136.63,169.65
00:18.9,1626.16,505.79,-397.1,136.04,170.11
00:19.0,1628.53,507.52,-398.72,135.5,170.25
00:19.0,1630.89,509.22,-400.35,134.83,169.82
00:19.1,1633.24,510.9,-402,134.13,168.55
00:19.1,1635.56,512.55,-403.64,133.59,166.72
00:19.1,1637.86,514.16,-405.28,132.87,164.37
00:19.2,1640.13,515.73,-406.91,132.13,161.6
00:19.3,1642.35,517.26,-408.53,131.82,158.8
00:19.3,1644.54,518.75,-410.13,131.57,156.18
00:19.4,1646.69,520.2,-411.72,131.24,153.73
00:19.4,1648.81,521.62,-413.29,130.65,151.27
00:19.5,1650.89,523,-414.85,129.75,148.62
00:19.5,1652.94,524.34,-416.4,129.23,145.64
