,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:05.3,329.47,-3.6,-400.89,13.63,237.38,,,
00:05.3,332.77,-6.8,-401.66,13.7,236.95,,,
00:05.4,336.05,-10,-402.43,13.76,236.51,,,
00:05.5,339.34,-13.19,-403.21,13.79,236.09,,,
00:05.5,342.61,-16.37,-403.98,13.81,235.69,,,
00:05.6,345.88,-19.55,-404.76,13.83,235.28,,,
00:05.6,349.15,-22.72,-405.54,13.86,234.86,,,
00:05.7,352.41,-25.88,-406.31,13.9,234.41,,,
00:05.7,355.66,-29.04,-407.09,13.94,233.98,,,
00:05.8,358.91,-32.19,-407.87,13.96,233.58,,,
00:05.8,362.15,-35.34,-408.64,13.96,233.17,,,
00:05.8,365.38,-38.48,-409.42,13.95,232.76,,,
00:05.9,368.61,-41.62,-410.2,13.94,232.35,,,
00:05.9,371.84,-44.75,-410.97,13.96,231.92,,,
00:06.0,375.06,-47.87,-411.75,14,231.5,,,
00:06.0,378.27,-50.99,-412.52,14.07,231.09,,,
00:06.1,381.48,-54.1,-413.3,14.15,230.69,,,
00:06.2,384.68,-57.2,-414.07,14.23,230.29,,,
00:06.2,387.87,-60.3,-414.85,14.31,229.87,,,
00:06.2,391.06,-63.4,-415.64,14.4,229.44,,,
00:06.3,394.25,-66.48,-416.42,14.44,229.04,,,
00:06.4,397.42,-69.56,-417.21,14.45,228.66,,,
00:06.4,400.6,-72.64,-417.99,14.46,228.27,,,
00:06.4,403.76,-75.7,-418.78,14.4,227.85,,,
00:06.5,406.93,-78.77,-419.56,14.29,227.44,,,
00:06.6,410.08,-81.82,-420.34,14.25,227.06,,,
00:06.6,413.23,-84.88,-421.12,14.36,226.67,,,
00:06.7,416.38,-87.93,-421.9,14.44,226.26,,,
00:06.7,419.52,-90.97,-422.68,14.47,225.89,,,
00:06.8,422.65,-94,-423.46,14.43,225.51,,,
00:06.8,425.78,-97.04,-424.23,14.22,225.13,,,
00:06.8,428.9,-100.06,-425,13.95,224.73,,,
00:06.9,432.02,-103.09,-425.76,13.77,224.35,,,
