,sLapDistance,xCarX,xCarY,vCar,aYaw
00:05.7,354.55,267.98,-13.6,253.38,-145.38
00:05.7,358.07,270.88,-11.6,253.75,-145.38
00:05.8,361.6,273.78,-9.59,254.12,-145.39
00:05.8,365.13,276.69,-7.59,254.47,-145.4
00:05.8,368.66,279.6,-5.58,254.84,-145.42
00:05.9,372.21,282.51,-3.57,255.18,-145.43
00:05.9,375.75,285.43,-1.56,255.52,-145.46
00:06.0,379.3,288.36,0.45,255.86,-145.51
00:06.0,382.86,291.29,2.47,255.67,-145.49
00:06.1,386.4,294.21,4.47,254.26,-145.44
00:06.2,389.92,297.1,6.46,252.16,-145.52
00:06.2,393.4,299.98,8.44,249.61,-145.57
00:06.2,396.85,302.82,10.38,246.68,-145.6
00:06.3,400.25,305.63,12.3,243.48,-145.6
00:06.4,403.61,308.4,14.2,240.18,-145.54
00:06.4,406.92,311.14,16.07,236.79,-145.49
00:06.4,410.19,313.83,17.91,233.34,-145.45
00:06.5,413.4,316.48,19.73,229.78,-145.31
00:06.6,416.57,319.09,21.53,226.11,-145.21
00:06.6,419.68,321.65,23.3,222.45,-145.24
00:06.7,422.75,324.18,25.04,219.08,-145.19
00:06.7,425.77,326.66,26.76,215.83,-145.09
00:06.8,428.74,329.1,28.46,212.53,-145.03
00:06.8,431.67,331.5,30.13,208.97,-144.79
00:06.8,434.55,333.86,31.78,205.25,-144.47
00:06.9,437.37,336.17,33.41,201.59,-144.17
00:07.0,440.15,338.43,35.02,198.28,-143.97
00:07.0,442.88,340.65,36.61,195.17,-143.74
00:07.0,445.57,342.83,38.19,192.24,-143.21
00:07.1,448.22,344.96,39.76,189.22,-142.44
00:07.1,450.83,347.06,41.31,186.11,-141.59
00:07.2,453.39,349.1,42.86,183.22,-141.07
00:07.3,455.92,351.1,44.41,180.81,-140.93
00:07.3,458.42,353.06,45.95,178.73,-140.8
00:07.3,460.89,354.98,47.5,176.92,-140.31
00:07.4,463.33,356.87,49.05,175.51,-139.51
00:07.5,465.76,358.73,50.62,174.33,-138.56
00:07.5,468.18,360.56,52.19,173.32,-137.64
00:07.5,470.58,362.36,53.78,172.38,-136.74
00:07.6,472.97,364.13,55.39,171.48,-135.81
00:07.6,475.34,365.86,57.01,170.56,-134.85
00:07.7,477.7,367.55,58.66,169.64,-133.73
00:07.8,480.05,369.22,60.32,168.8,-132.64
00:07.8,482.39,370.84,62,168,-131.62
00:07.8,484.71,372.44,63.69,167.2,-130.44
00:07.9,487.03,374,65.4,166.52,-129.14
00:08.0,489.34,375.53,67.14,165.88,-127.97
00:08.0,491.63,377.02,68.89,165.25,-126.72
00:08.1,493.92,378.47,70.66,164.7,-125.33
00:08.1,496.2,379.88,72.45,164.24,-123.92
00:08.1,498.48,381.26,74.27,163.76,-122.49
00:08.2,500.75,382.6,76.1,163.28,-121.09
00:08.3,503.01,383.89,77.96,162.81,-119.77
00:08.3,505.26,385.14,79.84,162.37,-118.52
