,sLapDistance,xCarX,xCarY,vCar,aYaw
00:25.6,1234.94,305.24,160.29,115.6,95.45
00:25.6,1236.53,305.47,158.71,114.4,93.99
00:25.7,1238.11,305.64,157.14,113.21,92.62
00:25.8,1239.68,305.77,155.59,112.1,91.32
00:25.8,1241.23,305.85,154.04,111.02,90.29
00:25.9,1242.76,305.89,152.51,109.98,89.31
00:25.9,1244.28,305.88,150.99,108.98,87.97
00:25.9,1245.79,305.83,149.48,108.04,86.1
00:26.0,1247.29,305.73,147.99,107.14,83.93
00:26.1,1248.77,305.59,146.51,106.31,81.78
00:26.1,1250.24,305.39,145.06,105.56,79.8
00:26.1,1251.7,305.15,143.62,104.88,78.03
00:26.2,1253.15,304.86,142.19,104.25,76.1
00:26.3,1254.6,304.53,140.79,103.82,73.91
00:26.3,1256.04,304.15,139.39,103.62,71.89
00:26.3,1257.48,303.73,138.02,103.55,70.26
00:26.4,1258.92,303.27,136.66,103.68,68.66
00:26.5,1260.36,302.76,135.31,104,67.03
00:26.5,1261.81,302.21,133.97,104.5,65.49
00:26.5,1263.27,301.61,132.64,105.1,63.99
00:26.6,1264.73,300.97,131.32,105.84,62.45
00:26.6,1266.21,300.3,130.01,106.74,60.98
00:26.7,1267.7,299.58,128.71,107.71,59.67
00:26.8,1269.2,298.83,127.41,108.74,58.27
00:26.8,1270.72,298.04,126.11,109.83,56.78
00:26.8,1272.25,297.21,124.82,110.96,55.41
00:26.9,1273.8,296.34,123.54,112.07,54.07
00:26.9,1275.36,295.44,122.26,113.2,52.72
00:27.0,1276.94,294.49,120.99,114.35,51.48
00:27.1,1278.54,293.51,119.74,115.47,50.36
00:27.1,1280.15,292.5,118.48,116.58,49.25
00:27.1,1281.78,291.45,117.24,117.73,48.1
00:27.2,1283.42,290.36,116.01,118.92,46.98
00:27.2,1285.08,289.25,114.78,120.08,45.84
00:27.3,1286.75,288.1,113.56,121.25,44.46
00:27.4,1288.44,286.92,112.35,122.53,43
00:27.4,1290.15,285.7,111.14,123.9,41.8
00:27.4,1291.88,284.45,109.95,125.29,40.92
00:27.5,1293.63,283.16,108.77,126.72,40.35
00:27.6,1295.4,281.84,107.59,128.2,39.98
00:27.6,1297.19,280.49,106.41,129.68,39.81
00:27.6,1299,279.11,105.24,131.05,39.54
00:27.7,1300.83,277.7,104.07,132.47,39.05
00:27.8,1302.68,276.27,102.9,133.84,38.52
00:27.8,1304.55,274.82,101.73,135.18,37.92
00:27.8,1306.44,273.34,100.56,136.56,37.4
00:27.9,1308.34,271.83,99.39,137.89,37.04
00:28.0,1310.27,270.3,98.22,139.22,36.67
00:28.0,1312.21,268.75,97.05,140.56,36.28
00:28.0,1314.17,267.18,95.88,141.85,35.92
00:28.1,1316.15,265.58,94.71,143.16,35.67
00:28.1,1318.15,263.96,93.54,144.42,35.47
00:28.2,1320.16,262.32,92.37,145.65,35.29
00:28.2,1322.19,260.67,91.19,146.84,35.04
00:28.3,1324.24,258.99,90.01,148.13,34.71
00:28.4,1326.31,257.3,88.83,149.4,34.4
00:28.4,1328.4,255.58,87.66,150.61,34.04
00:28.5,1330.49,253.84,86.48,151.73,33.46
00:28.5,1332.61,252.07,85.32,152.89,32.61
00:28.6,1334.74,250.28,84.16,153.99,31.73
00:28.6,1336.88,248.46,83.02,154.47,30.88
00:28.6,1339.03,246.63,81.91,154.15,29.89
00:28.7,1341.16,244.79,80.83,153.31,28.78
00:28.7,1343.28,242.95,79.78,152.31,27.9
00:28.8,1345.39,241.1,78.76,151.23,27.41
00:28.9,1347.48,239.26,77.77,150.03,26.98
00:28.9,1349.56,237.42,76.82,148.72,26.3
00:29.0,1351.61,235.58,75.9,147.41,25.13
00:29.0,1353.65,233.74,75.02,146.21,23.79
00:29.1,1355.67,231.9,74.17,145.03,22.52
00:29.1,1357.68,230.06,73.37,143.86,21.22
00:29.1,1359.67,228.22,72.6,142.79,19.98
00:29.2,1361.64,226.39,71.88,141.73,18.9
00:29.3,1363.6,224.55,71.19,140.61,17.88
00:29.3,1365.54,222.71,70.55,139.45,16.72
00:29.3,1367.47,220.88,69.95,138.35,15.4
00:29.4,1369.39,219.05,69.38,137.34,14.12
00:29.5,1371.28,217.22,68.86,136.27,12.87
00:29.5,1373.17,215.4,68.39,135.17,11.28
00:29.5,1375.04,213.58,67.96,134.15,9.69
00:29.6,1376.89,211.76,67.59,133.1,8.5
00:29.6,1378.73,209.95,67.26,131.95,7.34
00:29.7,1380.56,208.15,66.99,130.85,5.93
00:29.7,1382.37,206.35,66.75,129.76,4.63
00:29.8,1384.16,204.57,66.57,128.45,3.42
00:29.9,1385.93,202.8,66.42,127.09,1.94
00:29.9,1387.69,201.05,66.32,125.69,0.41
00:30.0,1389.42,199.31,66.27,124.22,-1.01
00:30.0,1391.14,197.6,66.25,122.71,-2.35
00:30.1,1392.83,195.9,66.29,121.22,-3.74
00:30.1,1394.5,194.23,66.36,119.82,-5.22
00:30.1,1396.16,192.58,66.47,118.52,-6.63
00:30.2,1397.79,190.95,66.63,117.19,-8.09
00:30.3,1399.41,189.34,66.82,115.95,-9.72
00:30.3,1401.02,187.76,67.06,114.77,-11.29
00:30.4,1402.6,186.2,67.35,113.67,-12.82
00:30.4,1404.17,184.66,67.67,112.65,-14.4
00:30.5,1405.73,183.15,68.03,111.72,-15.98
00:30.5,1407.27,181.65,68.43,110.89,-17.6
00:30.6,1408.81,180.18,68.87,110.11,-19.18
00:30.6,1410.33,178.73,69.34,109.41,-20.83
00:30.6,1411.85,177.31,69.85,108.72,-22.6
00:30.7,1413.35,175.91,70.4,108.04,-24.34
00:30.7,1414.85,174.53,70.98,107.58,-25.98
00:30.8,1416.34,173.17,71.61,107.32,-27.57
00:30.9,1417.83,171.84,72.28,107.23,-29.03
00:30.9,1419.32,170.53,72.98,107.2,-30.37
00:30.9,1420.81,169.24,73.72,107.26,-31.71
00:31.0,1422.3,167.97,74.5,107.41,-33.1
00:31.0,1423.79,166.71,75.31,107.63,-34.62
00:31.1,1425.29,165.48,76.15,107.94,-36.25
00:31.2,1426.79,164.26,77.03,108.31,-37.87
00:31.2,1428.3,163.06,77.95,108.73,-39.49
00:31.2,1429.81,161.89,78.9,109.19,-41.17
00:31.3,1431.33,160.73,79.88,109.67,-43.01
00:31.4,1432.86,159.6,80.91,110.21,-44.94
00:31.4,1434.39,158.49,81.97,110.76,-46.73
00:31.4,1435.93,157.41,83.07,111.31,-48.47
00:31.5,1437.48,156.36,84.21,111.98,-50.34
00:31.6,1439.04,155.33,85.38,112.7,-52.03
00:31.6,1440.61,154.33,86.59,113.44,-53.48
00:31.6,1442.19,153.36,87.83,114.21,-54.88
00:31.7,1443.78,152.41,89.11,115.06,-56.34
00:31.8,1445.38,151.48,90.43,116.06,-57.82
00:31.8,1447,150.59,91.77,117.04,-59.23
00:31.9,1448.63,149.71,93.15,117.81,-60.75
00:31.9,1450.27,148.87,94.56,118.58,-62.56
00:32.0,1451.92,148.06,95.99,119.49,-64.38
00:32.0,1453.59,147.27,97.47,120.57,-65.77
00:32.1,1455.27,146.53,98.97,121.7,-66.81
00:32.1,1456.97,145.81,100.51,122.86,-67.77
00:32.1,1458.68,145.11,102.08,124.09,-68.77
00:32.2,1460.41,144.44,103.68,125.39,-69.81
00:32.2,1462.16,143.8,105.3,126.65,-70.99
00:32.3,1463.93,143.18,106.96,128,-72.26
00:32.4,1465.72,142.59,108.64,129.36,-73.32
00:32.4,1467.52,142.02,110.36,130.63,-74.21
00:32.5,1469.34,141.48,112.1,131.9,-75.07
00:32.5,1471.18,140.96,113.86,133.2,-75.88
00:32.5,1473.04,140.47,115.66,134.49,-76.67
00:32.6,1474.92,140,117.47,135.81,-77.41
00:32.6,1476.81,139.55,119.31,137.11,-78.07
00:32.7,1478.73,139.13,121.18,138.41,-78.62
00:32.7,1480.66,138.73,123.07,139.66,-79.11
00:32.8,1482.61,138.35,124.98,140.89,-79.67
00:32.8,1484.57,137.99,126.91,142.12,-80.3
00:32.9,1486.55,137.64,128.86,143.31,-80.97
00:33.0,1488.55,137.31,130.83,144.47,-81.74
00:33.0,1490.56,137,132.82,145.68,-82.49
00:33.0,1492.59,136.71,134.83,146.7,-83.24
00:33.1,1494.64,136.44,136.86,147.8,-84.29
00:33.2,1496.7,136.19,138.9,149.07,-85.26
00:33.2,1498.78,135.97,140.97,150.22,-85.9
00:33.2,1500.87,135.77,143.06,151.33,-86.37
00:33.3,1502.98,135.6,145.16,152.47,-86.84
00:33.3,1505.11,135.46,147.28,153.69,-87.18
00:33.4,1507.25,135.33,149.42,154.78,-87.46
00:33.5,1509.41,135.23,151.57,155.86,-87.94
00:33.5,1511.58,135.14,153.74,156.95,-88.58
00:33.5,1513.77,135.07,155.93,158.02,-89.26
00:33.6,1515.97,135.03,158.13,159.08,-89.96
00:33.6,1518.18,135,160.35,160.12,-90.67
00:33.7,1520.42,135.01,162.58,161.17,-91.36
00:33.8,1522.66,135.04,164.82,162.2,-91.95
00:33.8,1524.92,135.1,167.08,163.19,-92.5
00:33.9,1527.19,135.18,169.35,164.16,-93.11
00:33.9,1529.48,135.28,171.64,165.19,-93.8
00:34.0,1531.78,135.41,173.93,166.16,-94.41
00:34.0,1534.1,135.56,176.24,167.12,-95.01
00:34.0,1536.42,135.74,178.56,168.09,-95.62
00:34.1,1538.76,135.94,180.9,169.03,-96.22
00:34.1,1541.12,136.16,183.24,169.96,-96.84
00:34.2,1543.48,136.42,185.59,170.94,-97.51
00:34.2,1545.87,136.7,187.96,171.88,-97.95
00:34.3,1548.26,137.01,190.33,172.8,-98.38
00:34.3,1550.66,137.34,192.71,173.72,-98.83
00:34.4,1553.08,137.69,195.1,174.62,-99.25
00:34.5,1555.51,138.07,197.51,175.5,-99.73
00:34.5,1557.96,138.46,199.92,176.42,-100.21
00:34.6,1560.41,138.88,202.34,177.32,-100.54
00:34.6,1562.88,139.31,204.77,178.2,-100.76
00:34.6,1565.37,139.76,207.21,179.11,-100.93
00:34.7,1567.86,140.22,209.66,179.99,-101.01
00:34.8,1570.37,140.68,212.12,180.87,-101.01
00:34.8,1572.88,141.16,214.59,181.71,-100.94
00:34.8,1575.41,141.63,217.08,182.57,-100.76
00:34.9,1577.95,142.11,219.57,183.44,-100.47
00:35.0,1580.51,142.57,222.08,184.2,-100
00:35.0,1583.07,143.02,224.61,185.07,-99.33
00:35.0,1585.65,143.46,227.15,185.89,-98.73
00:35.1,1588.23,143.87,229.7,186.67,-98.12
00:35.2,1590.83,144.26,232.27,187.45,-97.47
00:35.2,1593.44,144.63,234.85,188.24,-96.82
00:35.3,1596.06,144.97,237.45,189.01,-96.21
00:35.3,1598.69,145.28,240.06,189.77,-95.63
00:35.3,1601.33,145.57,242.68,190.5,-95.02
00:35.4,1603.98,145.82,245.32,191.21,-94.29
00:35.5,1606.64,146.05,247.97,191.93,-93.52
00:35.5,1609.32,146.25,250.63,192.64,-92.79
00:35.5,1612,146.42,253.3,193.34,-92.14
00:35.6,1614.68,146.56,255.98,193.29,-91.61
00:35.7,1617.36,146.67,258.66,191.84,-91.18
00:35.7,1620,146.76,261.3,189.63,-91.03
00:35.7,1622.62,146.84,263.92,186.96,-91.08
00:35.8,1625.19,146.9,266.49,184.07,-91.12
00:35.9,1627.73,146.96,269.02,181.08,-91.02
00:35.9,1630.22,147.02,271.52,177.75,-90.78
00:36.0,1632.67,147.06,273.96,174.25,-90.45
00:36.0,1635.06,147.1,276.35,170.78,-90.04
00:36.1,1637.41,147.13,278.7,167.31,-89.57
00:36.1,1639.71,147.14,281,163.94,-89.19
00:36.1,1641.97,147.15,283.25,160.72,-88.85
00:36.2,1644.18,147.15,285.46,157.67,-88.46
00:36.2,1646.35,147.14,287.63,154.64,-88.03
00:36.3,1648.47,147.12,289.75,151.69,-87.64
00:36.3,1650.56,147.09,291.84,148.83,-87.14
00:36.4,1652.6,147.04,293.89,145.92,-86.9
00:36.5,1654.61,146.98,295.89,143.37,-86.6
00:36.5,1656.59,146.91,297.86,140.97,-85.73
00:36.6,1658.53,146.83,299.8,138.51,-84.72
00:36.6,1660.43,146.74,301.71,136.08,-83.83
00:36.6,1662.31,146.62,303.58,133.57,-82.99
00:36.7,1664.14,146.47,305.41,131.06,-82.75
00:36.7,1665.95,146.3,307.2,128.85,-82.8
00:36.8,1667.72,146.11,308.96,126.65,-82.62
00:36.8,1669.47,145.9,310.7,124.58,-82.41
00:36.9,1671.18,145.69,312.4,122.64,-81.87
00:37.0,1672.87,145.46,314.07,120.67,-80.22
00:37.0,1674.54,145.2,315.72,118.8,-78.1
00:37.0,1676.17,144.91,317.32,116.64,-76.88
00:37.1,1677.78,144.58,318.89,114.69,-76.23
00:37.2,1679.36,144.22,320.43,113.14,-75.14
00:37.2,1680.92,143.83,321.95,111.69,-73.99
00:37.3,1682.46,143.43,323.43,110.11,-72.87
00:37.3,1683.97,143.01,324.89,108.44,-71.3
00:37.4,1685.47,142.57,326.32,106.56,-69.54
00:37.4,1686.93,142.1,327.71,104.71,-67.78
00:37.5,1688.37,141.61,329.06,103.01,-65.93
00:37.5,1689.79,141.09,330.38,101.49,-64.19
00:37.5,1691.19,140.54,331.67,100.06,-62.6
00:37.6,1692.56,139.96,332.92,98.59,-61.09
00:37.6,1693.92,139.37,334.14,97.09,-59.56
00:37.7,1695.25,138.75,335.33,95.55,-57.98
00:37.7,1696.57,138.11,336.48,93.97,-56.33
00:37.8,1697.86,137.45,337.59,92.37,-54.59
00:37.9,1699.13,136.77,338.66,90.78,-52.78
00:37.9,1700.38,136.07,339.7,89.21,-50.94
00:38.0,1701.6,135.35,340.7,87.66,-49.08
00:38.0,1702.8,134.62,341.66,86.13,-47.15
00:38.1,1703.99,133.88,342.58,84.66,-45.14
00:38.1,1705.15,133.12,343.46,83.23,-43.16
00:38.2,1706.29,132.34,344.31,81.79,-41.19
00:38.2,1707.41,131.56,345.11,80.4,-39.12
00:38.2,1708.52,130.76,345.88,79.05,-36.96
00:38.3,1709.6,129.95,346.61,77.75,-34.78
00:38.4,1710.67,129.13,347.3,76.48,-32.62
00:38.4,1711.71,128.3,347.95,75.34,-30.52
00:38.5,1712.75,127.46,348.56,74.45,-28.5
00:38.5,1713.77,126.6,349.13,73.93,-26.61
00:38.6,1714.8,125.73,349.67,73.66,-24.94
00:38.6,1715.81,124.84,350.17,73.53,-23.47
00:38.6,1716.83,123.93,350.63,73.51,-22.15
00:38.7,1717.85,123.01,351.07,73.62,-20.97
00:38.8,1718.88,122.06,351.46,73.89,-19.93
00:38.8,1719.91,121.1,351.83,74.28,-18.93
00:38.8,1720.94,120.12,352.16,74.74,-17.74
00:38.9,1721.98,119.13,352.46,75.23,-16.27
00:39.0,1723.03,118.12,352.74,75.71,-14.58
00:39.0,1724.09,117.09,352.98,76.18,-12.77
00:39.0,1725.15,116.05,353.19,76.63,-10.83
00:39.1,1726.22,115,353.37,77.08,-8.76
00:39.2,1727.3,113.93,353.51,77.53,-6.6
00:39.2,1728.38,112.86,353.62,77.98,-4.38
00:39.3,1729.47,111.78,353.7,78.45,-2.12
00:39.3,1730.56,110.68,353.73,78.93,0.14
00:39.3,1731.66,109.59,353.73,79.43,2.34
00:39.4,1732.77,108.48,353.69,79.96,4.48
00:39.5,1733.88,107.37,353.61,80.5,6.59
00:39.5,1735,106.25,353.49,81.06,8.65
00:39.5,1736.13,105.14,353.33,81.62,10.65
00:39.6,1737.27,104.02,353.12,82.18,12.61
00:39.6,1738.42,102.9,352.88,82.75,14.53
00:39.7,1739.57,101.78,352.6,83.31,16.42
00:39.7,1740.73,100.66,352.28,83.9,18.27
00:39.8,1741.9,99.55,351.92,84.53,20.13
00:39.9,1743.08,98.44,351.53,85.27,22.01
00:39.9,1744.27,97.33,351.09,86.1,23.91
00:40.0,1745.47,96.23,350.61,87,25.7
00:40.0,1746.68,95.13,350.1,88.03,27.19
00:40.0,1747.91,94.03,349.55,89.28,28.39
00:40.1,1749.17,92.92,348.97,90.72,29.43
00:40.2,1750.44,91.81,348.35,92.34,30.36
00:40.2,1751.73,90.69,347.7,94.13,31.15
00:40.2,1753.05,89.56,347.02,96.09,31.81
00:40.3,1754.4,88.41,346.32,97.98,32.39
00:40.3,1755.77,87.25,345.59,99.66,32.9
00:40.4,1757.17,86.07,344.84,101.4,33.49
00:40.5,1758.59,84.88,344.06,103.12,33.97
00:40.5,1760.03,83.68,343.26,104.9,34.39
00:40.6,1761.5,82.46,342.44,106.73,34.61
00:40.6,1763,81.22,341.6,108.56,34.8
00:40.6,1764.52,79.97,340.74,110.36,34.83
00:40.7,1766.07,78.7,339.85,112.06,34.85
00:40.8,1767.63,77.42,338.96,113.64,34.88
00:40.8,1769.22,76.11,338.05,115.18,34.91
00:40.9,1770.83,74.8,337.13,116.81,34.94
00:40.9,1772.47,73.46,336.19,118.47,34.96
00:41.0,1774.13,72.1,335.24,120.03,34.95
00:41.0,1775.8,70.73,334.28,121.55,34.95
00:41.0,1777.5,69.34,333.3,123.02,34.94
00:41.1,1779.22,67.93,332.32,124.43,34.94
00:41.1,1780.96,66.51,331.32,125.86,34.93
00:41.2,1782.72,65.07,330.31,127.33,34.93
00:41.3,1784.49,63.61,329.29,128.8,34.94
00:41.3,1786.29,62.14,328.26,130.21,34.93
00:41.3,1788.11,60.65,327.22,131.62,34.93
00:41.4,1789.95,59.14,326.17,132.96,34.92
00:41.5,1791.8,57.62,325.1,134.28,34.9
00:41.5,1793.68,56.09,324.03,135.68,34.88
00:41.6,1795.57,54.53,322.95,137.01,34.86
00:41.6,1797.49,52.97,321.85,138.32,34.83
00:41.7,1799.41,51.38,320.75,139.57,34.81
00:41.7,1801.36,49.79,319.64,140.81,34.78
00:41.7,1803.32,48.17,318.51,142.07,34.75
00:41.8,1805.31,46.55,317.38,143.34,34.72
00:41.8,1807.31,44.9,316.24,144.59,34.69
00:41.9,1809.32,43.25,315.09,145.81,34.66
00:42.0,1811.36,41.58,313.94,147,34.63
00:42.0,1813.41,39.89,312.77,148.21,34.59
00:42.1,1815.47,38.19,311.6,149.42,34.57
00:42.1,1817.56,36.48,310.41,150.57,34.54
00:42.1,1819.66,34.75,309.22,151.73,34.51
00:42.2,1821.77,33.01,308.02,152.9,34.48
00:42.2,1823.9,31.25,306.81,154.01,34.45
00:42.3,1826.05,29.48,305.6,155.1,34.42
00:42.4,1828.21,27.7,304.38,156.21,34.37
00:42.4,1830.39,25.9,303.15,157.29,34.33
00:42.5,1832.58,24.1,301.91,158.34,34.26
00:42.5,1834.79,22.27,300.66,159.42,34.2
00:42.5,1837.01,20.44,299.41,160.43,34.12
00:42.6,1839.24,18.59,298.16,161.5,34.05
00:42.7,1841.49,16.73,296.9,162.53,33.98
00:42.7,1843.76,14.85,295.63,163.53,33.94
00:42.8,1846.04,12.97,294.35,164.57,33.94
00:42.8,1848.33,11.07,293.07,165.61,34
00:42.9,1850.64,9.15,291.78,166.62,34.15
00:42.9,1852.96,7.23,290.47,167.62,34.32
00:43.0,1855.29,5.3,289.16,168.61,34.54
00:43.0,1857.64,3.37,287.83,169.59,34.74
00:43.1,1860,1.42,286.49,170.55,34.93
00:43.1,1862.38,-0.52,285.13,171.5,35.09
00:43.1,1864.77,-2.48,283.76,172.42,35.25
00:43.2,1867.17,-4.44,282.38,173.34,35.42
00:43.2,1869.58,-6.41,280.99,174.27,35.61
00:43.3,1872.01,-8.39,279.58,175.19,35.79
00:43.4,1874.45,-10.37,278.16,176.14,35.95
00:43.4,1876.9,-12.36,276.72,177.08,36.11
00:43.5,1879.37,-14.36,275.28,178,36.21
00:43.5,1881.84,-16.36,273.82,178.88,36.24
00:43.6,1884.33,-18.37,272.35,179.74,36.22
00:43.6,1886.84,-20.39,270.87,180.58,36.17
00:43.6,1889.35,-22.42,269.39,181.48,36.14
00:43.7,1891.88,-24.46,267.9,182.34,36.12
00:43.7,1894.42,-26.51,266.4,183.16,36.1
00:43.8,1896.97,-28.57,264.9,184.03,36.07
00:43.8,1899.53,-30.64,263.39,184.89,36.06
00:43.9,1902.1,-32.72,261.87,185.73,36.05
00:44.0,1904.69,-34.81,260.35,186.55,36.05
00:44.0,1907.28,-36.91,258.82,187.37,36.04
00:44.0,1909.89,-39.01,257.29,188.18,36.03
00:44.1,1912.51,-41.13,255.74,189,36.04
00:44.1,1915.14,-43.26,254.2,189.8,36.04
00:44.2,1917.78,-45.39,252.64,190.59,36.03
00:44.2,1920.43,-47.54,251.08,191.32,36.01
00:44.3,1923.1,-49.69,249.52,192.11,35.99
00:44.4,1925.77,-51.85,247.94,192.92,35.97
00:44.4,1928.46,-54.02,246.37,193.67,35.95
00:44.5,1931.15,-56.2,244.78,194.43,35.93
00:44.5,1933.86,-58.39,243.19,195.19,35.9
00:44.5,1936.57,-60.59,241.6,195.95,35.86
00:44.6,1939.3,-62.8,240,196.7,35.83
00:44.7,1942.04,-65.02,238.4,197.43,35.79
00:44.7,1944.78,-67.24,236.79,198.15,35.75
00:44.8,1947.54,-69.48,235.18,198.86,35.71
00:44.8,1950.31,-71.73,233.56,199.61,35.67
00:44.8,1953.09,-73.98,231.94,200.32,35.64
00:44.9,1955.87,-76.24,230.31,201.03,35.61
00:45.0,1958.67,-78.51,228.68,201.72,35.57
00:45.0,1961.48,-80.8,227.05,202.41,35.53
00:45.0,1964.29,-83.09,225.41,203.1,35.5
00:45.1,1967.12,-85.38,223.77,203.78,35.48
00:45.2,1969.95,-87.69,222.12,204.47,35.47
00:45.2,1972.8,-90.01,220.47,205.14,35.47
00:45.2,1975.65,-92.33,218.81,205.81,35.5
00:45.3,1978.51,-94.66,217.15,206.48,35.55
00:45.4,1981.39,-96.99,215.48,207.14,35.62
00:45.4,1984.27,-99.34,213.8,207.78,35.69
00:45.5,1987.16,-101.68,212.12,208.41,35.8
00:45.5,1990.06,-104.04,210.42,209.07,35.97
00:45.6,1992.97,-106.39,208.72,209.71,36.21
00:45.6,1995.88,-108.75,207,210.34,36.49
00:45.6,1998.81,-111.11,205.27,210.96,36.78
00:45.7,2001.74,-113.46,203.52,211.55,37.12
00:45.8,2004.68,-115.82,201.76,212.18,37.49
00:45.8,2007.64,-118.17,199.97,212.79,37.8
00:45.8,2010.59,-120.52,198.17,213.39,38.06
00:45.9,2013.56,-122.86,196.36,213.96,38.38
00:46.0,2016.54,-125.21,194.53,214.57,38.71
00:46.0,2019.52,-127.55,192.68,215.16,39
00:46.0,2022.51,-129.89,190.81,215.74,39.31
00:46.1,2025.51,-132.22,188.92,216.33,39.61
00:46.2,2028.52,-134.55,187.02,216.92,39.91
00:46.2,2031.54,-136.88,185.1,217.5,40.18
00:46.3,2034.56,-139.2,183.16,218.04,40.48
00:46.3,2037.6,-141.51,181.2,218.6,40.89
00:46.3,2040.64,-143.83,179.23,219.16,41.35
00:46.4,2043.68,-146.13,177.24,219.72,41.83
00:46.5,2046.74,-148.42,175.22,220.26,42.29
00:46.5,2049.8,-150.71,173.18,220.79,42.78
00:46.5,2052.87,-152.98,171.12,221.29,43.3
00:46.6,2055.95,-155.24,169.03,221.78,44.03
00:46.7,2059.03,-157.49,166.92,222.34,44.82
00:46.7,2062.12,-159.72,164.78,222.84,45.39
00:46.7,2065.22,-161.93,162.61,223.36,45.88
00:46.8,2068.33,-164.13,160.41,223.88,46.29
00:46.8,2071.44,-166.3,158.18,224.38,46.74
00:46.9,2074.56,-168.46,155.93,224.87,47.31
00:47.0,2077.69,-170.6,153.66,225.36,47.99
00:47.0,2080.82,-172.73,151.35,225.84,48.63
00:47.0,2083.96,-174.83,149.02,226.3,49.3
00:47.1,2087.11,-176.92,146.67,226.75,49.98
00:47.1,2090.26,-178.98,144.29,227.19,50.65
00:47.2,2093.41,-181.03,141.88,227.63,51.39
00:47.3,2096.58,-183.05,139.45,228.07,52.13
00:47.3,2099.75,-185.05,136.98,228.5,52.88
00:47.4,2102.92,-187.02,134.5,228.93,53.57
00:47.4,2106.11,-188.97,131.98,229.34,54.19
00:47.5,2109.29,-190.89,129.43,229.78,54.8
00:47.5,2112.49,-192.79,126.87,230.19,55.35
00:47.5,2115.69,-194.66,124.27,230.62,55.96
00:47.6,2118.89,-196.51,121.65,231.04,56.58
00:47.7,2122.1,-198.33,119.01,231.49,57.14
00:47.7,2125.32,-200.13,116.34,231.93,57.53
00:47.7,2128.54,-201.9,113.65,232.36,57.89
00:47.8,2131.77,-203.65,110.93,232.78,58.31
00:47.8,2135.01,-205.39,108.2,233.16,58.93
00:47.9,2138.25,-207.1,105.46,232.8,59.61
00:47.9,2141.47,-208.78,102.71,230.99,59.99
00:48.0,2144.65,-210.43,99.97,228.31,60.16
00:48.1,2147.81,-212.03,97.26,225.12,60.21
00:48.1,2150.91,-213.6,94.58,221.74,60.14
00:48.1,2153.96,-215.14,91.94,218.23,60.11
00:48.2,2156.97,-216.64,89.34,214.84,60.22
00:48.3,2159.93,-218.12,86.77,211.49,60.4
00:48.3,2162.84,-219.57,84.25,208.17,60.72
00:48.3,2165.71,-220.99,81.75,204.95,61.09
00:48.4,2168.54,-222.38,79.29,201.74,61.64
00:48.5,2171.32,-223.74,76.87,198.19,62.33
00:48.5,2174.04,-225.05,74.48,194.61,62.8
00:48.5,2176.72,-226.33,72.13,191.27,63.22
00:48.6,2179.35,-227.57,69.8,188.07,63.44
00:48.6,2181.95,-228.78,67.51,185.21,63.57
00:48.7,2184.5,-229.96,65.25,182.26,63.82
00:48.7,2187.01,-231.1,63.01,179.27,63.87
00:48.8,2189.48,-232.22,60.81,176.48,64.26
00:48.9,2191.91,-233.3,58.63,173.43,64.84
00:48.9,2194.3,-234.34,56.48,170.5,64.94
00:49.0,2196.65,-235.36,54.36,167.75,65.28
00:49.0,2198.96,-236.34,52.27,164.79,66.01
00:49.0,2201.23,-237.29,50.21,161.84,66.38
00:49.1,2203.45,-238.2,48.18,159.15,66.52
00:49.2,2205.65,-239.08,46.17,156.61,66.85
00:49.2,2207.8,-239.94,44.19,154.25,67.54
00:49.2,2209.93,-240.77,42.23,151.81,68.51
00:49.3,2212.02,-241.57,40.3,149.32,69.49
00:49.3,2214.08,-242.32,38.39,147.06,70.15
00:49.4,2216.11,-243.04,36.49,144.88,70.7
00:49.5,2218.1,-243.73,34.62,142.72,71.31
00:49.5,2220.07,-244.38,32.76,140.61,71.93
00:49.6,2222.01,-245,30.92,138.66,72.61
00:49.6,2223.92,-245.59,29.1,136.88,73.23
00:49.7,2225.81,-246.14,27.29,135.14,74.06
00:49.7,2227.68,-246.66,25.5,133.42,75.17
00:49.7,2229.52,-247.15,23.73,131.76,76.24
00:49.8,2231.33,-247.6,21.97,130.02,77.24
00:49.8,2233.13,-248.02,20.22,128.3,78.24
00:49.9,2234.9,-248.39,18.49,126.67,79.13
00:50.0,2236.65,-248.73,16.78,125.02,80.11
00:50.0,2238.37,-249.04,15.08,123.45,81.27
00:50.0,2240.08,-249.32,13.4,121.97,82.47
00:50.1,2241.76,-249.56,11.73,120.55,83.63
00:50.1,2243.42,-249.76,10.08,119.13,84.72
00:50.2,2245.07,-249.93,8.44,117.75,85.85
00:50.2,2246.69,-250.07,6.82,116.38,87.04
00:50.3,2248.3,-250.18,5.22,115.07,88.21
00:50.4,2249.89,-250.25,3.63,113.79,89.34
00:50.4,2251.46,-250.29,2.06,112.49,90.65
00:50.5,2253.01,-250.29,0.51,111.24,91.98
00:50.5,2254.54,-250.27,-1.03,110.15,93.17
00:50.5,2256.07,-250.21,-2.55,109.03,94.43
00:50.6,2257.57,-250.12,-4.05,107.85,95.85
00:50.6,2259.06,-250,-5.54,106.7,97.32
00:50.7,2260.53,-249.84,-7,105.6,98.73
00:50.8,2261.99,-249.65,-8.45,104.45,100.12
00:50.8,2263.43,-249.42,-9.87,103.28,101.53
00:50.8,2264.86,-249.16,-11.27,102.22,102.92
