,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.8,329.89,637.97,504.88,-125.84,102.25
00:05.9,331.3,638.8,506.02,-124.56,100.97
00:05.9,332.69,639.59,507.17,-123.28,99.58
00:06.0,334.06,640.35,508.32,-121.76,98.26
00:06.0,335.42,641.07,509.46,-120.22,96.95
00:06.1,336.76,641.75,510.61,-118.83,95.58
00:06.2,338.08,642.4,511.76,-117.39,94.27
00:06.2,339.37,643,512.91,-115.91,92.96
00:06.2,340.66,643.57,514.06,-114.54,91.65
00:06.3,341.92,644.11,515.21,-113.19,90.49
00:06.4,343.17,644.6,516.35,-111.79,89.27
00:06.4,344.4,645.06,517.5,-110.35,88.15
00:06.4,345.62,645.48,518.64,-108.82,87.08
00:06.5,346.82,645.87,519.78,-107.38,86.06
00:06.6,348.01,646.22,520.91,-105.98,85.06
00:06.6,349.18,646.54,522.04,-104.31,83.96
00:06.7,350.34,646.82,523.16,-102.33,82.93
00:06.7,351.49,647.06,524.28,-100.64,81.91
00:06.8,352.62,647.27,525.39,-99.36,80.89
00:06.8,353.73,647.45,526.5,-97.97,79.85
00:06.8,354.84,647.59,527.59,-96.21,78.81
00:06.9,355.93,647.7,528.67,-94.38,77.84
00:07.0,357,647.78,529.74,-92.64,76.93
00:07.0,358.07,647.82,530.8,-90.98,76.16
00:07.0,359.12,647.83,531.86,-89.29,75.42
00:07.1,360.16,647.81,532.9,-87.44,74.78
00:07.1,361.2,647.75,533.93,-85.58,74.22
00:07.2,362.23,647.65,534.95,-83.83,73.67
00:07.3,363.25,647.52,535.97,-82.04,73.16
00:07.3,364.26,647.36,536.97,-80.2,72.71
00:07.3,365.27,647.17,537.95,-78.25,72.23
00:07.4,366.27,646.95,538.93,-76.22,71.78
00:07.5,367.27,646.7,539.89,-74.19,71.35
00:07.5,368.26,646.42,540.84,-72.31,70.95
00:07.5,369.24,646.1,541.77,-70.51,70.55
00:07.6,370.22,645.76,542.68,-68.63,70.12
00:07.6,371.19,645.39,543.58,-66.64,69.73
00:07.7,372.16,644.98,544.46,-64.63,69.36
00:07.8,373.13,644.55,545.32,-62.62,69.34
00:07.8,374.09,644.09,546.17,-60.64,69.7
00:07.8,375.07,643.6,547,-58.7,70.22
00:07.9,376.05,643.08,547.83,-56.85,70.74
00:08.0,377.03,642.52,548.64,-54.96,71.25
00:08.0,378.03,641.93,549.45,-53.08,71.81
00:08.1,379.03,641.32,550.23,-51.26,72.33
00:08.1,380.04,640.67,551.01,-49.39,72.9
00:08.1,381.06,640,551.77,-47.45,73.55
00:08.2,382.09,639.29,552.51,-45.36,74.21
00:08.3,383.12,638.56,553.25,-43.21,74.96
00:08.3,384.17,637.79,553.96,-41.22,75.86
00:08.3,385.23,637,554.66,-39.5,76.7
00:08.4,386.3,636.17,555.35,-37.81,77.49
00:08.4,387.39,635.32,556.01,-36.02,78.48
00:08.5,388.48,634.44,556.66,-34.4,79.49
00:08.6,389.59,633.52,557.3,-32.94,80.58
00:08.6,390.72,632.58,557.91,-31.7,81.65
00:08.7,391.86,631.61,558.52,-30.75,82.71
00:08.7,393.02,630.62,559.11,-29.86,83.78
00:08.8,394.19,629.6,559.69,-28.89,84.88
00:08.8,395.38,628.56,560.26,-27.84,86.05
00:08.8,396.58,627.49,560.81,-26.62,87.24
00:08.9,397.8,626.39,561.34,-25.18,88.45
00:08.9,399.04,625.27,561.86,-23.67,89.68
00:09.0,400.29,624.13,562.37,-22.28,90.89
00:09.0,401.56,622.95,562.86,-21.02,92.11
00:09.1,402.85,621.76,563.34,-19.79,93.34
00:09.2,404.15,620.54,563.8,-18.45,94.63
