,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:05.2,299.46,297.13,-40.36,173.41,172.64,,,
00:05.3,301.84,299.5,-40.64,173.33,170.8,,,
00:05.3,304.2,301.84,-40.91,173.19,168.66,,,
00:05.4,306.52,304.15,-41.18,173.02,166.23,,,
00:05.5,308.81,306.43,-41.46,172.84,163.41,,,
00:05.5,311.06,308.66,-41.73,172.78,160.71,,,
00:05.6,313.28,310.86,-42,172.79,158.16,,,
00:05.6,315.46,313.02,-42.28,172.74,155.63,,,
00:05.7,317.6,315.15,-42.55,172.66,153.16,,,
00:05.7,319.71,317.24,-42.82,172.47,150.79,,,
00:05.8,321.79,319.3,-43.09,172.14,148.13,,,
00:05.8,323.83,321.32,-43.36,171.84,145.42,,,
00:05.8,325.83,323.3,-43.64,171.62,143.06,,,
00:05.9,327.8,325.25,-43.92,171.29,140.88,,,
00:05.9,329.75,327.17,-44.22,170.71,138.81,,,
00:06.0,331.66,329.06,-44.52,169.99,136.92,,,
00:06.0,333.55,330.93,-44.84,169.19,135.58,,,
00:06.1,335.43,332.77,-45.19,168.37,134.86,,,
00:06.2,337.3,334.61,-45.56,167.21,134.47,,,
00:06.2,339.17,336.43,-45.95,165.84,134.15,,,
00:06.2,341.03,338.24,-46.38,164.5,133.8,,,
00:06.3,342.88,340.04,-46.84,163.2,133.45,,,
00:06.4,344.73,341.82,-47.34,161.99,133.1,,,
00:06.4,346.58,343.59,-47.86,160.88,132.73,,,
00:06.4,348.42,345.34,-48.42,159.73,132.38,,,
00:06.5,350.25,347.08,-49.02,158.83,132.03,,,
00:06.6,352.08,348.8,-49.64,158.17,131.69,,,
00:06.6,353.91,350.51,-50.29,156.79,131.32,,,
00:06.7,355.73,352.2,-50.96,154.98,130.92,,,
00:06.7,357.54,353.87,-51.67,153.56,130.58,,,
00:06.8,359.35,355.52,-52.42,152.53,130.36,,,
00:06.8,361.16,357.15,-53.21,151.53,130.34,,,
00:06.8,362.97,358.77,-54.03,150.51,130.37,,,
00:06.9,364.78,360.37,-54.88,149.55,130.49,,,
00:07.0,366.6,361.95,-55.76,148.53,130.64,,,
00:07.0,368.41,363.52,-56.68,147.45,130.82,,,
00:07.0,370.23,365.07,-57.63,146.27,131.15,,,
00:07.1,372.05,366.6,-58.62,145.07,131.54,,,
00:07.1,373.88,368.12,-59.64,143.84,131.84,,,
00:07.2,375.71,369.62,-60.69,142.62,132.18,,,
00:07.3,377.55,371.11,-61.77,141.56,132.45,,,
00:07.3,379.39,372.58,-62.87,140.22,132.69,,,
00:07.3,381.23,374.04,-64.01,138.69,132.79,,,
00:07.4,383.07,375.47,-65.17,137.22,132.44,,,
00:07.5,384.91,376.86,-66.36,135.91,132.07,,,
00:07.5,386.74,378.23,-67.58,134.74,131.77,,,
00:07.5,388.57,379.56,-68.84,133.63,131.76,,,
00:07.6,390.4,380.87,-70.12,132.64,132.15,,,
00:07.6,392.24,382.16,-71.43,131.63,132.77,,,
00:07.7,394.09,383.43,-72.77,130.57,133.58,,,
00:07.8,395.94,384.69,-74.14,129.6,134.39,,,
00:07.8,397.82,385.92,-75.55,128.35,135.14,,,
00:07.8,399.7,387.13,-76.99,126.87,135.86,,,
00:07.9,401.59,388.31,-78.47,125.88,136.52,,,
00:08.0,403.49,389.47,-79.98,125.33,137.01,,,
00:08.0,405.39,390.61,-81.51,124.22,137.42,,,
00:08.1,407.3,391.73,-83.06,122.22,137.89,,,
00:08.1,409.22,392.82,-84.64,120.57,138.64,,,
00:08.1,411.15,393.87,-86.25,119.85,139.23,,,
00:08.2,413.09,394.91,-87.89,119.62,139.91,,,
00:08.3,415.04,395.92,-89.55,119.33,140.83,,,
00:08.3,417,396.93,-91.24,118.7,141.77,,,
00:08.3,418.97,397.91,-92.95,117.7,142.94,,,
00:08.4,420.97,398.88,-94.7,116.68,144.31,,,
00:08.4,422.98,399.83,-96.47,116.03,145.83,,,
00:08.5,425.02,400.77,-98.28,115.97,147.26,,,
00:08.6,427.07,401.7,-100.11,116.04,148.62,,,
00:08.6,429.15,402.62,-101.97,115.78,150.03,,,
00:08.7,431.24,403.54,-103.85,115.04,151.34,,,
00:08.7,433.35,404.43,-105.76,113.93,152.58,,,
00:08.8,435.48,405.31,-107.7,112.77,153.82,,,
00:08.8,437.62,406.17,-109.66,111.73,155.04,,,
00:08.8,439.78,407.01,-111.66,110.85,156.25,,,
00:08.9,441.96,407.83,-113.68,109.98,157.38,,,
00:08.9,444.15,408.62,-115.72,108.95,158.52,,,
00:09.0,446.36,409.39,-117.79,107.88,159.7,,,
00:09.0,448.59,410.13,-119.89,106.93,160.81,,,
00:09.1,450.83,410.84,-122.02,106.03,161.88,,,
00:09.2,453.08,411.52,-124.17,105,162.93,,,
00:09.2,455.35,412.18,-126.34,103.85,163.99,,,
00:09.3,457.64,412.8,-128.54,102.68,165.04,,,
00:09.3,459.93,413.39,-130.76,101.62,166.08,,,
00:09.3,462.25,413.94,-133.01,100.71,167.07,,,
00:09.4,464.57,414.46,-135.28,99.73,168.01,,,
00:09.5,466.91,414.94,-137.57,98.74,168.98,,,
00:09.5,469.26,415.4,-139.87,97.89,169.4,,,
00:09.6,471.61,415.81,-142.19,96.97,169.17,,,
00:09.6,473.96,416.19,-144.51,96.02,168.86,,,
00:09.7,476.3,416.52,-146.82,95.4,168.56,,,
00:09.7,478.64,416.82,-149.14,94.79,168.29,,,
00:09.8,480.97,417.08,-151.47,94.19,168.04,,,
00:09.8,483.3,417.31,-153.79,93.6,167.78,,,
00:09.8,485.63,417.5,-156.11,92.92,167.53,,,
00:09.9,487.96,417.66,-158.43,92.23,167.28,,,
00:10.0,490.28,417.79,-160.74,91.52,167.05,,,
00:10.0,492.6,417.88,-163.06,90.63,166.81,,,
00:10.1,494.91,417.94,-165.38,89.62,166.58,,,
00:10.1,497.22,417.97,-167.69,88.66,166.32,,,
00:10.2,499.53,417.97,-170,87.6,166.05,,,
00:10.2,501.83,417.93,-172.3,86.61,165.78,,,
00:10.2,504.13,417.85,-174.6,85.75,165.51,,,
00:10.3,506.43,417.73,-176.89,84.87,165.25,,,
00:10.4,508.72,417.58,-179.18,84.1,164.99,,,
00:10.4,511.01,417.39,-181.46,83.3,164.74,,,
00:10.5,513.3,417.17,-183.74,82.45,164.49,,,
00:10.5,515.58,416.92,-186.01,81.6,164.25,,,
00:10.6,517.86,416.64,-188.27,80.65,163.99,,,
00:10.6,520.13,416.32,-190.52,79.58,163.72,,,
00:10.7,522.4,415.97,-192.77,78.59,163.45,,,
00:10.7,524.67,415.58,-195,77.77,163.19,,,
00:10.7,526.94,415.16,-197.23,77,162.93,,,
00:10.8,529.2,414.7,-199.44,76.19,162.69,,,
00:10.9,531.45,414.21,-201.64,75.4,162.45,,,
00:10.9,533.71,413.69,-203.84,74.56,162.21,,,
00:11.0,535.96,413.13,-206.02,73.66,161.95,,,
00:11.0,538.21,412.54,-208.19,72.96,161.57,,,
00:11.1,540.45,411.93,-210.34,72.33,161.08,,,
00:11.1,542.68,411.28,-212.48,71.62,160.58,,,
00:11.2,544.9,410.61,-214.61,70.89,160.05,,,
00:11.2,547.12,409.92,-216.71,70.01,159.48,,,
00:11.3,549.33,409.2,-218.8,69.12,158.9,,,
00:11.3,551.54,408.45,-220.87,68.27,158.32,,,
