,sLapDistance,xCarX,xCarY,aYaw,vCar
00:06.2,380.55,21.5,10.94,2.03,218.625
00:06.2,383.61,20.28,10.89,2.02,218.656
00:06.2,386.66,16.62,10.76,2.04,218.482
00:06.3,389.71,13.57,10.65,2.05,218.024
00:06.4,392.75,11.14,10.56,2.05,217.758
00:06.4,395.18,6.28,10.39,2.08,217.353
00:06.4,399.44,5.07,10.34,2.08,217.011
00:06.5,401.86,1.43,10.21,2.09,217.005
00:06.6,404.89,-1.6,10.1,2.08,216.886
00:06.6,407.91,-4.01,10.01,2.08,216.657
00:06.7,410.93,-8.84,9.83,2.09,216.156
00:06.7,413.95,-10.05,9.79,2.1,215.714
00:06.8,416.96,-13.66,9.66,2.1,215.421
00:06.8,419.97,-16.67,9.55,2.12,215.177
00:06.8,422.98,-19.07,9.46,2.15,215.114
00:06.9,425.38,-23.86,9.28,2.2,214.664
00:07.0,429.58,-25.06,9.23,2.2,214.557
00:07.0,431.97,-28.65,9.09,2.22,214.209
00:07.0,434.96,-31.64,8.98,2.23,213.8
00:07.1,437.95,-34.03,8.88,2.22,213.745
00:07.1,440.93,-38.79,8.7,2.22,213.523
00:07.2,443.91,-39.98,8.65,2.23,213.126
00:07.3,446.88,-43.55,8.51,2.26,212.958
00:07.3,449.86,-46.52,8.39,2.3,212.677
00:07.3,452.82,-48.89,8.3,2.32,212.5
00:07.4,455.19,-53.63,8.11,2.36,212.238
00:07.5,459.34,-54.81,8.06,2.37,211.942
00:07.5,461.7,-58.35,7.91,2.41,211.502
00:07.5,464.65,-61.3,7.79,2.44,210.925
00:07.6,467.59,-63.65,7.69,2.48,210.651
00:07.6,470.52,-68.33,7.49,2.54,209.924
00:07.7,473.44,-69.49,7.44,2.55,209.07
00:07.8,476.35,-72.97,7.28,2.55,208.078
00:07.8,479.23,-75.85,7.15,2.56,206.998
00:07.8,482.1,-78.14,7.05,2.57,205.335
00:07.9,484.37,-82.66,6.85,2.61,203.613
00:08.0,488.31,-83.79,6.8,2.62,202.066
00:08.0,490.53,-87.12,6.64,2.64,199.811
00:08.1,493.29,-89.87,6.52,2.65,197.725
00:08.1,496.01,-92.04,6.42,2.65,195.222
00:08.1,498.71,-96.33,6.22,2.64,193.317
00:08.2,501.37,-97.39,6.17,2.65,190.958
00:08.3,504,-100.54,6.02,2.66,188.628
00:08.3,506.6,-103.13,5.9,2.66,186.336
00:08.3,509.17,-105.18,5.8,2.68,184.054
00:08.4,511.2,-109.22,5.61,2.69,181.353
00:08.4,514.7,-110.21,5.56,2.68,179.444
00:08.5,516.67,-113.17,5.42,2.65,177.495
00:08.6,519.11,-115.6,5.31,2.66,175.033
00:08.6,521.52,-117.52,5.22,2.67,172.119
00:08.7,523.89,-121.3,5.04,2.69,170.096
00:08.7,526.24,-122.23,5,2.71,167.735
00:08.8,528.55,-125,4.87,2.71,164.37
00:08.8,530.82,-127.27,4.76,2.66,161.84
00:08.8,533.07,-129.06,4.67,2.62,160.232
00:08.9,534.84,-132.57,4.51,2.49,157.012
00:08.9,537.87,-133.43,4.47,2.46,155.383
00:09.0,539.56,-135.97,4.35,2.38,152.45
00:09.0,541.64,-138.04,4.26,2.36,149.212
00:09.1,543.68,-139.66,4.19,2.29,145.971
00:09.2,545.69,-142.84,4.06,2.15,142.73
00:09.2,547.65,-143.62,4.03,2.1,139.489
00:09.3,549.57,-145.93,3.94,1.78,136.376
00:09.3,551.46,-147.8,3.87,1.52,133.639
00:09.3,553.3,-149.27,3.83,1.34,130.666
00:09.4,554.74,-152.13,3.75,0.86,128.029
00:09.5,557.21,-152.83,3.74,0.71,124.8
00:09.5,558.58,-154.9,3.7,0.07,122.692
00:09.6,560.28,-156.59,3.69,-0.85,121.352
00:09.6,561.94,-157.92,3.69,-1.64,119.596
00:09.7,563.58,-160.51,3.73,-3.59,118.245
00:09.7,565.18,-161.15,3.75,-3.92,115.731
00:09.8,566.75,-163.03,3.84,-4.67,113.387
00:09.8,568.29,-164.56,3.94,-5.45,111.095
00:09.8,569.8,-165.76,4.03,-5.95,108.831
00:09.9,570.99,-168.12,4.26,-7.31,107.243
00:10.0,573.04,-168.69,4.33,-7.68,105.608
00:10.0,574.19,-170.4,4.55,-8.59,104.082
00:10.1,575.61,-171.8,4.75,-9.32,102.376
00:10.1,577,-172.9,4.93,-9.94,100.999
00:10.2,578.39,-175.07,5.33,-11.6,99.799
00:10.2,579.75,-175.6,5.44,-12.08,98.235
00:10.2,581.1,-177.19,5.79,-13.62,97.438
00:10.3,582.44,-178.49,6.1,-14.92,96.693
00:10.4,583.77,-179.52,6.37,-16.05,96.165
00:10.4,584.83,-181.54,6.95,-18.38,95.43
00:10.5,586.67,-182.04,7.11,-18.87,94.682
00:10.5,587.71,-183.53,7.6,-20.26,93.947
00:10.6,589,-184.74,8.04,-21.78,93.543
00:10.6,590.29,-185.7,8.41,-22.93,92.461
00:10.7,591.56,-187.58,9.19,-24.63,91.502
00:10.7,592.82,-188.04,9.4,-25.15,90.575
00:10.7,594.08,-189.4,10.03,-27.44,89.906
00:10.8,595.32,-190.51,10.59,-29.56,89.429
00:10.9,596.55,-191.37,11.06,-31.04,88.746
00:10.9,597.53,-193.05,12.06,-33.52,88.084
00:11.0,599.23,-193.45,12.32,-34.21,87.364
00:11.0,600.19,-194.65,13.13,-36.17,86.799
00:11.1,601.39,-195.62,13.83,-37.61,86.046
00:11.1,602.58,-196.38,14.41,-38.82,85.753
00:11.2,603.76,-197.85,15.6,-41.78,85.478
00:11.2,604.94,-198.21,15.9,-42.44,85.06
00:11.3,606.12,-199.26,16.84,-44.12,84.758
00:11.3,607.28,-200.1,17.65,-45.69,84.739
00:11.4,608.45,-200.76,18.32,-47.01,85.377
00:11.4,609.38,-202.03,19.69,-48.93,84.169
00:11.5,611.02,-202.34,20.04,-49.41,84.432
00:11.5,611.95,-203.24,21.11,-51.51,84.398
00:11.6,613.12,-203.97,22.02,-53.3,84.041
00:11.6,614.29,-204.53,22.76,-54.45,83.72
00:11.6,615.45,-205.61,24.28,-55.94,83.558
00:11.7,616.61,-205.87,24.66,-56.09,83.32
00:11.7,617.76,-206.65,25.79,-55.94,82.86
00:11.8,618.9,-207.3,26.73,-55.32,82.191
00:11.8,620.03,-207.82,27.47,-54.56,80.94
00:11.9,620.93,-208.89,28.9,-52.43,79.283
00:11.9,622.48,-209.16,29.25,-51.74,78.215
00:12.0,623.36,-210,30.27,-49.32,77.418
00:12.0,624.46,-210.72,31.08,-47.21,76.5
00:12.1,625.54,-211.31,31.72,-45.59,76.515
00:12.2,626.62,-212.54,32.94,-42.42,76.643
00:12.2,627.7,-212.85,33.23,-41.59,76.768
00:12.3,628.77,-213.81,34.08,-39.07,76.57
00:12.3,629.84,-214.63,34.76,-37.18,76.045
00:12.4,630.9,-215.3,35.28,-35.84,75.578
00:12.4,631.95,-216.5,36.14,-33.48,75.306
00:12.4,633,-217.02,36.49,-32.39,75.044
00:12.5,634.05,-218.08,37.16,-30.31,74.668
00:12.6,635.08,-218.98,37.68,-28.73,74.238
00:12.6,636.12,-219.71,38.08,-27.44,73.948
00:12.7,637.15,-220.99,38.73,-24.63,73.936
00:12.7,638.18,-221.55,38.98,-23.31,73.677
00:12.8,639.2,-222.68,39.45,-20.92,72.978
00:12.8,640.22,-223.63,39.81,-19.25,72.819
00:12.9,641.23,-224.4,40.07,-17.96,73.156
00:12.9,642.25,-225.76,40.49,-15.41,73.251
00:12.9,643.27,-226.35,40.65,-14.35,73.61
00:13.0,644.29,-227.54,40.94,-12.31,73.433
00:13.1,645.31,-228.55,41.15,-10.67,73.655
00:13.1,646.35,-229.36,41.3,-9.26,74.528
00:13.1,647.39,-230.8,41.51,-6.91,75.145
00:13.2,648.44,-231.43,41.59,-5.95,76.167
00:13.2,649.51,-232.71,41.71,-4.13,77.092
00:13.3,650.59,-233.78,41.78,-2.74,77.781
00:13.3,651.67,-234.65,41.81,-1.64,78.727
00:13.4,652.77,-236.19,41.83,0.31,79.448
00:13.4,653.87,-236.85,41.82,1.14,79.615
00:13.5,654.98,-238.17,41.78,2.64,79.405
00:13.6,656.08,-239.27,41.72,3.66,79.347
00:13.6,657.18,-240.15,41.66,4.38,79.145
00:13.6,658.27,-241.67,41.53,5.44,78.679
00:13.7,659.36,-242.32,41.46,5.84,78.297
00:13.8,660.44,-243.61,41.33,6.46,77.9
00:13.8,661.51,-244.67,41.2,6.79,77.155
00:13.9,662.57,-245.51,41.11,6.89,76.384
00:13.9,663.62,-246.97,40.93,6.77,75.608
00:14.0,664.65,-247.58,40.86,6.58,74.778
00:14.0,665.68,-248.81,40.73,5.95,73.933
00:14.1,666.7,-249.81,40.64,5.17,73.152
00:14.1,667.7,-250.61,40.58,4.32,72.361
00:14.2,668.7,-252,40.51,2.26,71.727
00:14.2,669.68,-252.59,40.5,1.16,71.165
00:14.3,670.66,-253.76,40.51,-1.3,70.658
00:14.3,671.63,-254.73,40.55,-3.47,70.13
00:14.3,672.6,-255.5,40.62,-5.23,69.623
00:14.4,673.55,-256.82,40.78,-8.28,68.827
00:14.5,674.5,-257.37,40.87,-9.56,68.037
00:14.5,675.44,-258.47,41.08,-12.08,67.283
00:14.6,676.36,-259.37,41.3,-14.21,66.578
00:14.6,677.28,-260.08,41.49,-15.92,65.794
00:14.6,678.19,-261.29,41.87,-18.93,65.019
00:14.7,679.09,-261.79,42.05,-20.15,64.152
00:14.7,679.98,-262.78,42.43,-22.58,63.416
00:14.8,680.86,-263.59,42.79,-24.65,62.885
00:14.8,681.73,-264.21,43.09,-26.29,62.364
00:14.9,682.6,-265.27,43.66,-29.22,61.787
00:14.9,683.45,-265.71,43.92,-30.49,61.265
00:15.0,684.3,-266.57,44.47,-33.12,60.841
00:15.0,685.15,-267.26,44.95,-35.34,60.502
00:15.1,685.99,-267.79,45.35,-37.12,60.038
00:15.1,686.82,-268.68,46.09,-40.32,59.586
00:15.2,687.65,-269.05,46.42,-41.74,59.224
00:15.2,688.47,-269.75,47.1,-44.6,58.69
00:15.3,689.29,-270.31,47.69,-46.91,58.203
00:15.3,690.09,-270.73,48.17,-48.7,57.673
00:15.4,690.89,-271.43,49.04,-51.71,57.179
00:15.4,691.69,-271.71,49.42,-52.97,56.617
00:15.5,692.47,-272.25,50.19,-55.63,56.065
00:15.6,693.25,-272.66,50.85,-57.99,55.604
00:15.6,694.03,-272.96,51.38,-59.98,55.2
00:15.7,694.79,-273.45,52.33,-63.61,54.704
00:15.7,695.56,-273.63,52.74,-65.15,54.386
00:15.8,696.31,-273.97,53.57,-68.09,53.895
00:15.8,697.06,-274.21,54.27,-70.55,53.474
00:15.9,697.8,-274.38,54.84,-72.56,53.205
00:15.9,698.54,-274.62,55.83,-76.04,52.873
00:16.0,699.27,-274.7,56.26,-77.54,52.457
00:16.0,700,-274.83,57.11,-80.74,52.186
00:16.1,700.72,-274.91,57.82,-83.28,51.926
00:16.1,701.44,-274.94,58.39,-85.29,51.325
00:16.1,702.15,-274.96,59.38,-89.21,51.112
00:16.2,702.86,-274.95,59.8,-90.79,50.965
