,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.7,293.46,-310.07,-123.94,-8.7,122.11
00:05.7,295.14,-311.74,-123.71,-9.32,121.09
00:05.8,296.82,-313.4,-123.45,-10.33,120.06
00:05.8,298.48,-315.03,-123.16,-11.88,119.04
00:05.8,300.12,-316.65,-122.85,-13.32,117.98
00:05.9,301.75,-318.24,-122.5,-14.54,116.93
00:05.9,303.37,-319.81,-122.11,-16.12,115.91
00:06.0,304.97,-321.36,-121.7,-17.94,114.88
00:06.0,306.56,-322.89,-121.26,-19.76,113.86
00:06.1,308.13,-324.39,-120.78,-21.48,112.8
00:06.2,309.68,-325.86,-120.28,-23.09,111.77
00:06.2,311.22,-327.31,-119.74,-24.75,110.72
00:06.2,312.75,-328.73,-119.18,-26.58,109.65
00:06.3,314.26,-330.13,-118.58,-28.47,108.56
00:06.4,315.76,-331.49,-117.96,-30.22,107.42
00:06.4,317.24,-332.83,-117.31,-31.9,106.3
00:06.4,318.71,-334.13,-116.63,-33.61,105.27
00:06.5,320.16,-335.4,-115.92,-35.33,104.36
00:06.6,321.6,-336.64,-115.19,-37.04,103.56
00:06.6,323.03,-337.86,-114.42,-38.7,102.8
00:06.7,324.45,-339.04,-113.63,-40.27,102.04
00:06.7,325.85,-340.18,-112.81,-41.7,101.31
00:06.8,327.25,-341.3,-111.96,-42.89,100.61
00:06.8,328.64,-342.39,-111.09,-44,99.95
00:06.8,330.02,-343.44,-110.2,-45.1,99.31
00:06.9,331.4,-344.47,-109.28,-46.23,98.65
00:07.0,332.76,-345.46,-108.34,-47.51,97.97
00:07.0,334.12,-346.41,-107.38,-48.97,97.27
00:07.0,335.46,-347.32,-106.39,-50.4,96.6
00:07.1,336.8,-348.19,-105.37,-51.65,96
00:07.1,338.13,-349.02,-104.33,-52.89,95.45
00:07.2,339.45,-349.82,-103.27,-54.38,94.95
00:07.3,340.77,-350.58,-102.2,-56.11,94.5
00:07.3,342.08,-351.31,-101.11,-57.96,94.39
00:07.3,343.39,-352.01,-100,-59.82,94.63
00:07.4,344.71,-352.68,-98.87,-61.66,94.97
00:07.5,346.03,-353.32,-97.71,-63.48,95.39
00:07.5,347.36,-353.93,-96.53,-65.23,95.83
00:07.5,348.69,-354.51,-95.33,-66.92,96.27
00:07.6,350.03,-355.06,-94.11,-68.68,96.73
00:07.6,351.38,-355.57,-92.87,-70.5,97.24
00:07.7,352.73,-356.06,-91.6,-72.33,97.8
00:07.8,354.09,-356.5,-90.31,-74.19,98.4
00:07.8,355.46,-356.92,-89.01,-76.07,99.06
00:07.8,356.84,-357.29,-87.68,-77.87,99.71
00:07.9,358.23,-357.63,-86.33,-79.54,100.35
00:08.0,359.62,-357.93,-84.96,-81.12,100.97
00:08.0,361.03,-358.19,-83.58,-82.56,101.54
00:08.1,362.44,-358.42,-82.19,-83.88,102.11
00:08.1,363.86,-358.61,-80.78,-85.1,102.78
00:08.1,365.29,-358.77,-79.35,-86.26,103.57
00:08.2,366.74,-358.89,-77.91,-87.51,104.37
00:08.3,368.19,-358.99,-76.46,-88.95,105.24
00:08.3,369.66,-359.05,-75,-90.4,106.23
00:08.3,371.14,-359.08,-73.51,-91.73,107.15
00:08.4,372.63,-359.07,-72.02,-92.96,108.13
00:08.4,374.14,-359.02,-70.51,-94.01,109.22
00:08.5,375.67,-358.94,-68.99,-94.78,110.37
00:08.6,377.21,-358.82,-67.45,-95.45,111.59
00:08.6,378.77,-358.68,-65.9,-96.17,112.82
00:08.7,380.34,-358.52,-64.33,-97.02,114.08
00:08.7,381.94,-358.33,-62.75,-97.99,115.34
00:08.8,383.55,-358.11,-61.15,-99.06,116.57
00:08.8,385.17,-357.87,-59.55,-100.19,117.78
00:08.8,386.82,-357.59,-57.93,-101.3,118.71
00:08.9,388.46,-357.29,-56.31,-102.11,118.57
00:08.9,390.11,-356.96,-54.69,-102.94,118.39
00:09.0,391.75,-356.61,-53.09,-103.92,118.21
00:09.0,393.39,-356.23,-51.49,-104.79,118.03
00:09.1,395.03,-355.83,-49.9,-105.52,117.85
00:09.2,396.66,-355.4,-48.33,-106.23,117.66
00:09.2,398.3,-354.94,-46.76,-107.13,117.48
00:09.3,399.93,-354.46,-45.2,-108.28,117.31
00:09.3,401.55,-353.95,-43.66,-109.55,117.12
00:09.3,403.18,-353.41,-42.12,-110.94,116.9
00:09.4,404.8,-352.84,-40.6,-112.39,116.69
00:09.5,406.42,-352.24,-39.1,-113.41,116.49
00:09.5,408.04,-351.62,-37.61,-114.05,116.3
00:09.6,409.65,-350.97,-36.13,-114.87,116.14
00:09.6,411.26,-350.29,-34.67,-115.78,115.98
00:09.7,412.87,-349.6,-33.21,-116.42,115.82
00:09.7,414.48,-348.89,-31.77,-117.08,115.66
00:09.8,416.08,-348.17,-30.34,-117.74,115.52
00:09.8,417.69,-347.43,-28.92,-118.22,115.38
00:09.8,419.29,-346.67,-27.5,-118.73,115.24
00:09.9,420.89,-345.9,-26.1,-119.35,115.11
00:10.0,422.49,-345.12,-24.71,-119.96,114.96
00:10.0,424.08,-344.32,-23.33,-120.57,114.81
00:10.1,425.68,-343.5,-21.96,-121.33,114.66
00:10.1,427.27,-342.67,-20.6,-122.16,114.51
00:10.2,428.86,-341.82,-19.26,-122.99,114.36
00:10.2,430.44,-340.96,-17.93,-123.83,114.21
00:10.2,432.03,-340.08,-16.61,-124.88,114.05
00:10.3,433.61,-339.17,-15.31,-126.09,113.88
