,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.34,7.14,5.34,-75,219.15
00:00.1,4.39,6.35,8.28,-74.96,219.82
00:00.1,7.44,5.55,11.23,-74.9,220.51
00:00.2,10.51,4.75,14.2,-74.82,221.18
00:00.2,13.59,3.95,17.17,-74.74,221.85
00:00.3,16.67,3.14,20.14,-74.65,222.52
00:00.3,19.77,2.32,23.13,-74.55,223.18
00:00.4,22.87,1.5,26.12,-74.46,223.82
00:00.4,25.99,0.67,29.12,-74.37,224.46
00:00.5,29.11,-0.16,32.13,-74.27,225.09
00:00.5,32.24,-1.01,35.15,-74.14,225.71
00:00.6,35.38,-1.86,38.17,-73.98,226.35
00:00.6,38.53,-2.72,41.2,-73.83,226.98
00:00.7,41.68,-3.59,44.23,-73.69,227.58
00:00.7,44.85,-4.47,47.27,-73.55,228.2
00:00.8,48.02,-5.36,50.32,-73.42,228.81
00:00.8,51.2,-6.26,53.37,-73.29,229.41
00:00.9,54.39,-7.17,56.43,-73.16,230.01
00:00.9,57.59,-8.08,59.49,-73.03,230.61
00:01.0,60.8,-9.01,62.56,-72.89,231.21
00:01.0,64.01,-9.94,65.64,-72.76,231.79
00:01.1,67.24,-10.89,68.72,-72.63,232.37
00:01.1,70.47,-11.84,71.81,-72.48,232.94
00:01.2,73.71,-12.81,74.9,-72.32,233.52
00:01.2,76.96,-13.79,78,-72.15,234.09
00:01.3,80.21,-14.77,81.1,-71.99,234.66
00:01.3,83.47,-15.77,84.21,-71.86,235.22
00:01.4,86.74,-16.77,87.32,-71.76,235.78
00:01.4,90.02,-17.79,90.44,-71.7,236.34
00:01.5,93.31,-18.81,93.56,-71.65,236.89
00:01.5,96.6,-19.84,96.69,-71.61,237.44
00:01.6,99.91,-20.88,99.82,-71.56,237.98
00:01.6,103.21,-21.92,102.96,-71.54,238.51
00:01.7,106.53,-22.97,106.11,-71.53,239.05
00:01.7,109.85,-24.02,109.26,-71.54,239.59
00:01.8,113.19,-25.07,112.42,-71.58,240.12
00:01.8,116.52,-26.12,115.59,-71.62,240.64
00:01.9,119.87,-27.18,118.77,-71.64,241.16
00:01.9,123.22,-28.24,121.95,-71.66,241.68
00:02.0,126.58,-29.3,125.14,-71.65,242.2
00:02.0,129.95,-30.36,128.33,-71.64,242.7
00:02.0,133.32,-31.43,131.53,-71.62,243.01
00:02.1,136.69,-32.49,134.73,-71.59,241.78
00:02.2,140.03,-33.54,137.9,-71.57,239.25
00:02.2,143.33,-34.59,141.03,-71.55,235.75
00:02.3,146.58,-35.62,144.11,-71.52,231.92
00:02.3,149.77,-36.63,147.14,-71.52,228.2
00:02.4,152.91,-37.62,150.12,-71.52,224.47
00:02.4,156.01,-38.61,153.06,-71.51,220.75
00:02.5,159.05,-39.57,155.94,-71.49,217.03
00:02.5,162.04,-40.52,158.77,-71.47,213.31
00:02.6,164.97,-41.45,161.56,-71.44,209.63
00:02.6,167.86,-42.37,164.29,-71.4,205.91
00:02.7,170.69,-43.28,166.98,-71.35,202.15
00:02.7,173.47,-44.17,169.61,-71.33,198.34
00:02.8,176.2,-45.04,172.2,-71.25,194.53
00:02.8,178.88,-45.9,174.73,-71.17,190.74
00:02.9,181.5,-46.74,177.22,-71.11,186.97
00:02.9,184.07,-47.57,179.65,-71.02,183.33
00:03.0,186.59,-48.39,182.04,-70.89,179.79
00:03.0,189.07,-49.19,184.38,-70.77,176.31
00:03.1,191.49,-49.98,186.67,-70.61,172.87
00:03.1,193.87,-50.76,188.91,-70.34,169.56
00:03.2,196.2,-51.54,191.11,-70.01,166.15
00:03.2,198.49,-52.3,193.27,-69.66,162.78
00:03.3,200.72,-53.06,195.37,-69.2,159.64
00:03.3,202.92,-53.82,197.43,-68.72,156.49
00:03.4,205.07,-54.58,199.45,-68.2,153.53
