,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.7,294.38,-244.16,-141.87,68.73,140.28
00:05.8,296.34,-244.89,-143.69,70.19,141.34
00:05.8,298.31,-245.6,-145.52,71.41,142.29
00:05.8,300.3,-246.28,-147.39,71.96,143.24
00:05.9,302.29,-246.94,-149.27,71.71,144.06
00:05.9,304.3,-247.59,-151.17,71.42,144.91
00:06.0,306.32,-248.23,-153.08,71.48,145.91
00:06.0,308.35,-248.88,-155.01,71.74,146.95
00:06.1,310.4,-249.52,-156.95,72.1,147.72
00:06.2,312.45,-250.16,-158.91,72.57,148.16
00:06.2,314.51,-250.81,-160.87,72.8,148.8
00:06.2,316.59,-251.45,-162.84,72.3,150.21
00:06.3,318.68,-252.11,-164.82,71.39,151.18
00:06.4,320.79,-252.79,-166.82,70.59,152.1
00:06.4,322.91,-253.49,-168.82,70.01,152.99
00:06.4,325.04,-254.21,-170.82,69.45,153.89
00:06.5,327.18,-254.94,-172.84,68.72,154.87
00:06.6,329.34,-255.7,-174.86,67.78,155.83
00:06.6,331.51,-256.49,-176.88,66.61,156.88
00:06.7,333.7,-257.32,-178.91,65.75,157.92
00:06.7,335.9,-258.18,-180.93,65.37,158.84
00:06.8,338.11,-259.07,-182.96,65.14,159.81
00:06.8,340.34,-259.98,-184.99,64.93,160.82
00:06.8,342.57,-260.91,-187.02,64.58,161.68
00:06.9,344.83,-261.86,-189.06,63.8,162.61
00:07.0,347.09,-262.84,-191.11,63.06,163.67
00:07.0,349.37,-263.85,-193.15,62.72,164.57
00:07.0,351.66,-264.88,-195.2,62.5,165.48
00:07.1,353.97,-265.93,-197.25,62.27,166.41
00:07.1,356.29,-267,-199.31,62.05,167.35
00:07.2,358.62,-268.08,-201.37,61.95,168.28
00:07.3,360.96,-269.17,-203.45,62.03,169.19
00:07.3,363.32,-270.27,-205.53,62.19,170.05
00:07.3,365.68,-271.37,-207.63,62.34,170.83
00:07.4,368.06,-272.47,-209.73,62.42,170.88
00:07.5,370.42,-273.57,-211.83,62.44,169.88
00:07.5,372.77,-274.66,-213.91,62.46,168.16
00:07.5,375.09,-275.73,-215.96,62.56,165.68
00:07.6,377.37,-276.78,-217.99,62.74,162.84
00:07.6,379.61,-277.81,-219.98,62.97,159.79
00:07.7,381.81,-278.81,-221.94,63.15,156.69
00:07.8,383.96,-279.79,-223.86,63.34,153.49
00:07.8,386.07,-280.75,-225.74,63.46,150.39
00:07.8,388.14,-281.68,-227.58,63.61,147.42
00:07.9,390.17,-282.58,-229.4,63.92,144.54
00:08.0,392.16,-283.46,-231.18,64.41,141.85
00:08.0,394.11,-284.31,-232.94,65.11,139.31
00:08.1,396.03,-285.13,-234.67,66.04,137.04
00:08.1,397.92,-285.92,-236.39,67.08,134.95
00:08.1,399.78,-286.67,-238.1,68.25,133.07
00:08.2,401.61,-287.38,-239.79,69.48,131.3
00:08.3,403.42,-288.05,-241.47,70.56,129.62
00:08.3,405.21,-288.68,-243.14,71.65,127.94
00:08.3,406.98,-289.27,-244.81,72.77,126.25
00:08.4,408.72,-289.82,-246.46,73.83,124.56
00:08.4,410.44,-290.33,-248.1,75.04,122.98
00:08.5,412.13,-290.8,-249.73,76.32,121.46
00:08.6,413.81,-291.23,-251.35,77.49,120.01
00:08.6,415.46,-291.63,-252.96,78.63,118.67
00:08.7,417.1,-291.98,-254.56,79.83,117.43
00:08.7,418.72,-292.3,-256.15,81.1,116.25
00:08.8,420.33,-292.58,-257.74,82.5,115.17
00:08.8,421.92,-292.82,-259.31,83.91,114.21
00:08.8,423.5,-293.01,-260.88,85.36,113.4
00:08.9,425.07,-293.17,-262.44,86.81,112.77
00:08.9,426.63,-293.29,-264,88.27,112.37
