,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:05.0,228.74,-222.81,-30.53,-146.1,98.7,,,
00:05.0,230.12,-221.69,-29.73,-147.81,99.29,,,
00:05.1,231.5,-220.54,-28.97,-149.56,99.83,,,
00:05.1,232.89,-219.36,-28.23,-151.41,100.41,,,
00:05.2,234.29,-218.15,-27.53,-153.25,101.08,,,
00:05.2,235.7,-216.92,-26.85,-154.93,101.87,,,
00:05.2,237.12,-215.65,-26.21,-156.44,102.7,,,
00:05.3,238.55,-214.35,-25.6,-157.82,103.64,,,
00:05.3,240,-213.03,-25.02,-159.12,104.68,,,
00:05.4,241.46,-211.68,-24.47,-160.44,105.66,,,
00:05.5,242.93,-210.3,-23.95,-161.8,106.59,,,
00:05.5,244.42,-208.9,-23.46,-163.03,107.6,,,
00:05.6,245.92,-207.48,-22.99,-164.07,108.56,,,
00:05.6,247.43,-206.03,-22.54,-165.04,109.52,,,
00:05.7,248.96,-204.57,-22.12,-165.95,110.55,,,
00:05.7,250.5,-203.08,-21.71,-166.76,111.64,,,
00:05.8,252.06,-201.58,-21.32,-167.59,112.8,,,
00:05.8,253.64,-200.05,-20.94,-168.46,114.18,,,
00:05.8,255.24,-198.49,-20.58,-169.14,115.75,,,
00:05.9,256.85,-196.91,-20.25,-169.49,117.13,,,
00:05.9,258.49,-195.31,-19.94,-169.8,118.46,,,
00:06.0,260.15,-193.69,-19.64,-170.12,119.78,,,
00:06.0,261.82,-192.05,-19.35,-170.39,121.11,,,
00:06.1,263.51,-190.39,-19.07,-170.56,122.34,,,
00:06.2,265.21,-188.71,-18.78,-170.74,123.42,,,
00:06.2,266.94,-187.01,-18.5,-170.91,124.64,,,
00:06.2,268.68,-185.3,-18.22,-170.99,126.06,,,
00:06.3,270.44,-183.57,-17.95,-170.98,127.34,,,
00:06.4,272.21,-181.82,-17.67,-170.91,128.49,,,
00:06.4,274.01,-180.05,-17.38,-170.81,129.7,,,
00:06.4,275.82,-178.27,-17.09,-170.69,130.95,,,
00:06.5,277.64,-176.47,-16.8,-170.57,132.09,,,
00:06.6,279.49,-174.66,-16.5,-170.39,133.21,,,
00:06.6,281.35,-172.83,-16.19,-170.21,134.51,,,
00:06.7,283.22,-170.99,-15.88,-170.09,135.63,,,
00:06.7,285.12,-169.13,-15.56,-169.99,136.72,,,
00:06.8,287.02,-167.26,-15.23,-169.9,137.7,,,
00:06.8,288.93,-165.38,-14.89,-169.79,138.27,,,
00:06.8,290.86,-163.49,-14.56,-169.56,138.77,,,
00:06.9,292.8,-161.59,-14.22,-169.23,140.02,,,
00:07.0,294.75,-159.67,-13.87,-168.95,141.61,,,
00:07.0,296.73,-157.73,-13.5,-168.87,142.72,,,
00:07.0,298.72,-155.79,-13.13,-168.85,143.72,,,
00:07.1,300.72,-153.83,-12.74,-168.83,144.62,,,
00:07.1,302.73,-151.86,-12.36,-168.76,145.39,,,
