,sLapDistance,xCarX,xCarY,aYaw,vCar
02:23.9,0,357.16,334.61,-143.69,223.03
02:23.9,1.24,358.16,335.36,-143.77,223.22
02:24.0,2.49,359.15,336.1,-143.85,223.43
02:24.0,3.73,360.15,336.84,-143.93,223.61
02:24.0,4.97,361.15,337.58,-144,223.79
02:24.0,6.22,362.16,338.32,-144.07,223.98
02:24.0,7.47,363.16,339.06,-144.15,224.17
02:24.1,8.72,364.17,339.79,-144.25,224.38
02:24.1,9.97,365.18,340.53,-144.38,224.56
02:24.1,11.22,366.19,341.27,-144.49,224.74
02:24.1,12.47,367.2,342,-144.6,224.96
02:24.1,13.72,368.22,342.73,-144.7,225.19
02:24.2,14.98,369.23,343.47,-144.8,225.37
02:24.2,16.23,370.25,344.2,-144.91,225.57
02:24.2,17.49,371.27,344.93,-145,225.75
02:24.2,18.74,372.3,345.66,-145.07,225.96
02:24.2,20,373.32,346.39,-145.12,226.16
02:24.3,21.26,374.35,347.11,-145.16,226.34
02:24.3,22.52,375.38,347.84,-145.2,226.52
02:24.3,23.78,376.41,348.56,-145.24,226.7
02:24.3,25.04,377.45,349.29,-145.3,226.88
02:24.3,26.31,378.48,350.01,-145.35,227.06
02:24.4,27.57,379.52,350.74,-145.39,227.25
02:24.4,28.84,380.56,351.46,-145.42,227.47
02:24.4,30.1,381.59,352.18,-145.46,227.67
02:24.4,31.37,382.64,352.91,-145.52,227.85
02:24.4,32.64,383.68,353.63,-145.61,228.01
02:24.5,33.91,384.72,354.35,-145.7,228.18
02:24.5,35.18,385.77,355.07,-145.8,228.38
02:24.5,36.45,386.82,355.79,-145.87,228.58
02:24.5,37.73,387.86,356.51,-145.92,228.79
02:24.5,39,388.92,357.23,-145.96,228.97
02:24.6,40.27,389.97,357.95,-146,229.15
02:24.6,41.55,391.02,358.67,-146.04,229.29
02:24.6,42.83,392.08,359.39,-146.09,229.45
02:24.6,44.1,393.14,360.1,-146.13,229.64
02:24.6,45.38,394.19,360.82,-146.15,229.84
02:24.7,46.66,395.25,361.54,-146.17,230.03
02:24.7,47.94,396.31,362.25,-146.2,230.2
02:24.7,49.22,397.38,362.97,-146.25,230.37
02:24.7,50.51,398.44,363.68,-146.32,230.53
02:24.7,51.79,399.51,364.4,-146.4,230.71
02:24.8,53.07,400.57,365.11,-146.49,230.9
02:24.8,54.36,401.64,365.83,-146.58,231.1
02:24.8,55.65,402.71,366.54,-146.68,231.28
02:24.8,56.93,403.78,367.25,-146.77,231.45
02:24.8,58.22,404.86,367.97,-146.87,231.61
02:24.9,59.51,405.93,368.68,-146.95,231.78
02:24.9,60.8,407.01,369.39,-147.02,231.97
02:24.9,62.09,408.09,370.1,-147.08,232.16
02:24.9,63.39,409.17,370.8,-147.14,232.3
02:24.9,64.68,410.25,371.51,-147.19,232.45
02:25.0,65.97,411.34,372.22,-147.22,232.64
02:25.0,67.27,412.42,372.93,-147.26,232.82
02:25.0,68.56,413.51,373.63,-147.3,232.98
02:25.0,69.86,414.6,374.34,-147.35,233.12
02:25.0,71.16,415.69,375.04,-147.39,233.3
02:25.1,72.46,416.78,375.75,-147.42,233.5
02:25.1,73.76,417.87,376.45,-147.46,233.7
02:25.1,75.06,418.96,377.15,-147.52,233.84
02:25.1,76.36,420.06,377.86,-147.6,234
02:25.1,77.66,421.16,378.56,-147.7,234.16
