,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.8,344.25,-17.91,-404.53,13.23,241.39
00:05.9,347.6,-21.18,-405.29,13.23,241.75
00:05.9,350.96,-24.45,-406.06,13.23,242.16
00:06.0,354.33,-27.73,-406.83,13.23,242.57
00:06.0,357.7,-31.01,-407.6,13.24,242.93
00:06.1,361.08,-34.3,-408.37,13.24,243.32
00:06.2,364.46,-37.59,-409.14,13.24,243.7
00:06.2,367.85,-40.89,-409.92,13.23,244.06
00:06.2,371.24,-44.19,-410.69,13.23,244.44
00:06.3,374.64,-47.5,-411.47,13.23,244.8
00:06.4,378.04,-50.81,-412.24,13.23,245.17
00:06.4,381.45,-54.13,-413.02,13.24,245.51
00:06.4,384.86,-57.45,-413.8,13.24,245.86
00:06.5,388.28,-60.78,-414.58,13.25,246.23
00:06.6,391.7,-64.11,-415.36,13.27,246.58
00:06.6,395.12,-67.44,-416.15,13.27,246.92
00:06.7,398.56,-70.79,-416.93,13.25,247.26
00:06.7,401.99,-74.13,-417.72,13.23,247.58
00:06.8,405.43,-77.48,-418.51,13.21,247.99
00:06.8,408.88,-80.84,-419.29,13.2,248.35
00:06.8,412.33,-84.2,-420.08,13.2,248.67
00:06.9,415.79,-87.56,-420.87,13.19,248.95
00:07.0,419.24,-90.93,-421.66,13.19,248.88
00:07.0,422.7,-94.29,-422.44,13.19,248.6
00:07.0,426.15,-97.65,-423.23,13.17,248.08
00:07.1,429.59,-101,-424.01,13.11,247.51
00:07.1,433.02,-104.35,-424.79,13,247
00:07.2,436.45,-107.69,-425.56,12.81,246.47
00:07.3,439.87,-111.02,-426.32,12.56,245.94
00:07.3,443.28,-114.35,-427.07,12.19,245.41
00:07.3,446.69,-117.67,-427.8,11.68,244.53
00:07.4,450.07,-120.98,-428.5,11.13,242.93
00:07.5,453.43,-124.28,-429.18,10.58,241.03
00:07.5,456.76,-127.55,-429.83,9.86,238.77
00:07.5,460.06,-130.79,-430.44,9.16,236.27
00:07.6,463.33,-134,-431.02,8.56,233.71
00:07.6,466.55,-137.18,-431.55,8,231.2
00:07.7,469.75,-140.34,-432.05,7.46,228.82
00:07.8,472.91,-143.47,-432.52,6.86,226.7
00:07.8,476.04,-146.57,-432.96,5.62,224.33
00:07.8,479.14,-149.64,-433.36,4.28,221.52
00:07.9,482.19,-152.68,-433.7,3.24,218.58
00:08.0,485.21,-155.68,-434,2.37,215.79
00:08.0,488.19,-158.65,-434.24,1.93,213.48
00:08.1,491.14,-161.59,-434.44,1.51,211.51
00:08.1,494.06,-164.51,-434.61,0.85,209.43
00:08.1,496.96,-167.4,-434.73,0.16,206.98
00:08.2,499.81,-170.26,-434.81,-0.61,204.31
00:08.3,502.63,-173.08,-434.85,-1.43,201.83
00:08.3,505.42,-175.86,-434.85,-2.22,199.53
00:08.3,508.17,-178.62,-434.81,-3.03,197.43
00:08.4,510.9,-181.35,-434.74,-4.16,195.29
00:08.4,513.6,-184.04,-434.62,-5.34,193.11
00:08.5,516.26,-186.7,-434.45,-6.43,190.97
00:08.6,518.9,-189.33,-434.24,-7.54,188.99
00:08.6,521.52,-191.93,-433.98,-8.64,187.41
00:08.7,524.11,-194.51,-433.68,-9.8,186.17
00:08.7,526.69,-197.06,-433.33,-11.01,185.19
00:08.8,529.25,-199.6,-432.94,-12.29,184.39
00:08.8,531.81,-202.11,-432.49,-13.44,183.67
00:08.8,534.35,-204.61,-432.01,-14.44,182.95
00:08.9,536.89,-207.09,-431.48,-15.72,182.06
00:08.9,539.41,-209.55,-430.91,-17.2,180.94
00:09.0,541.91,-211.97,-430.3,-18.53,179.73
00:09.0,544.4,-214.37,-429.63,-19.8,178.61
00:09.1,546.87,-216.73,-428.92,-20.95,177.69
00:09.2,549.33,-219.08,-428.16,-22.01,176.88
00:09.2,551.78,-221.39,-427.36,-23.03,176.06
00:09.3,554.22,-223.68,-426.53,-23.89,175.14
00:09.3,556.64,-225.94,-425.66,-24.67,173.97
00:09.3,559.05,-228.17,-424.75,-25.47,172.66
00:09.4,561.43,-230.37,-423.82,-26.28,171.29
00:09.5,563.8,-232.53,-422.86,-27.22,169.86
00:09.5,566.15,-234.66,-421.87,-28.37,168.32
00:09.6,568.47,-236.75,-420.86,-29.47,166.68
00:09.6,570.77,-238.81,-419.82,-30.53,164.96
00:09.7,573.05,-240.82,-418.75,-31.55,163.28
00:09.7,575.31,-242.79,-417.65,-32.43,161.76
00:09.8,577.54,-244.73,-416.54,-33.19,160.43
00:09.8,579.76,-246.63,-415.39,-34.03,159.16
00:09.8,581.96,-248.49,-414.23,-35.05,157.85
00:09.9,584.14,-250.32,-413.04,-36.09,156.44
00:10.0,586.31,-252.11,-411.82,-37.04,154.96
00:10.0,588.45,-253.86,-410.59,-38,153.47
00:10.1,590.57,-255.56,-409.33,-39.1,152.07
00:10.1,592.67,-257.23,-408.04,-40.26,150.75
