,sLapDistance,xCarX,xCarY,aYaw,vCar
00:00.0,1.53,360.81,332.89,-142.72,231.72
00:00.1,4.73,363.37,334.85,-142.89,232.24
00:00.1,8.09,365.94,336.8,-143.03,232.7
00:00.2,11.14,368.52,338.76,-143.18,233.22
00:00.2,14.5,371.11,340.71,-143.31,233.71
00:00.3,17.65,373.71,342.66,-143.44,234.22
00:00.3,20.9,376.32,344.61,-143.56,234.7
00:00.4,24.06,378.94,346.55,-143.71,235.17
00:00.4,27.31,381.57,348.49,-143.92,235.61
00:00.5,30.57,384.21,350.43,-144.29,236.08
00:00.5,33.72,386.86,352.36,-144.66,236.58
00:00.6,36.98,389.53,354.28,-144.92,237.05
00:00.6,39.83,392.22,356.19,-145.14,237.48
00:00.7,44.4,394.92,358.09,-145.38,237.95
00:00.7,47,397.63,359.98,-145.65,238.35
00:00.8,49.59,400.36,361.87,-145.96,238.84
00:00.8,54.17,403.1,363.74,-146.22,239.2
00:00.9,56.92,405.85,365.61,-146.63,239.66
00:00.9,59.66,408.62,367.47,-146.95,240.1
00:01.0,64.24,411.4,369.31,-147.12,240.54
00:01.0,66.99,414.19,371.14,-147.3,240.93
00:01.1,70.24,417,372.97,-147.55,241.4
00:01.1,73.55,419.82,374.78,-147.82,241.75
00:01.2,76.85,422.66,376.59,-148.21,242.2
00:01.2,80.11,425.51,378.38,-148.56,242.58
00:01.3,83.47,428.37,380.17,-148.9,243.01
00:01.3,86.82,431.25,381.94,-149.12,243.43
00:01.4,90.18,434.14,383.69,-149.26,243.79
00:01.4,93.54,437.04,385.44,-149.48,244.22
00:01.5,97,439.95,387.18,-149.72,244.61
00:01.5,100.4,442.88,388.92,-149.92,245.02
00:01.6,103.71,445.82,390.64,-150.13,245.4
00:01.6,107.12,448.77,392.35,-150.37,245.8
00:01.7,110.53,451.73,394.05,-150.61,246.19
00:01.7,113.98,454.7,395.75,-150.9,246.56
00:01.8,117.44,457.69,397.43,-151.2,246.94
00:01.8,120.85,460.69,399.1,-151.42,247.33
00:01.9,124.26,463.69,400.77,-151.6,247.69
00:01.9,127.72,466.71,402.42,-151.78,248.08
00:02.0,131.18,469.74,404.07,-151.99,248.44
00:02.0,134.58,472.78,405.7,-152.26,248.82
00:02.0,137.89,475.84,407.33,-152.55,249.18
00:02.1,141.3,478.9,408.95,-152.78,249.55
00:02.2,144.71,481.97,410.55,-152.92,249.92
00:02.2,148.17,485.06,412.15,-153.08,250.26
00:02.3,151.62,488.15,413.74,-153.25,250.64
00:02.3,155.03,491.26,415.32,-153.4,250.97
00:02.4,158.44,494.37,416.89,-153.49,251.35
00:02.4,162.05,497.49,418.46,-153.49,251.66
00:02.5,165.56,500.61,420.03,-153.46,252.02
00:02.5,169.07,503.74,421.6,-153.41,252.22
00:02.6,172.58,506.88,423.18,-153.36,252.65
00:02.6,176.09,510.02,424.75,-153.24,252.97
00:02.7,179.6,513.16,426.33,-153.05,253.31
00:02.7,183.11,516.3,427.92,-152.94,253.64
00:02.8,186.62,519.44,429.52,-152.86,253.91
00:02.8,190.13,522.59,431.12,-152.75,254.23
00:02.9,193.64,525.73,432.73,-152.73,254.33
00:02.9,197.15,528.87,434.34,-152.71,252.9
00:03.0,200.76,531.97,435.93,-152.61,250.14
00:03.0,204.01,535.04,437.51,-152.49,246.37
00:03.1,207.47,538.06,439.07,-152.37,242.81
00:03.1,210.73,541.03,440.61,-152.39,239.28
00:03.2,214.08,543.96,442.13,-152.42,235.04
00:03.2,217.44,546.83,443.62,-152.42,231.54
00:03.3,220.49,549.66,445.1,-152.42,228.59
00:03.3,223.7,552.46,446.56,-152.32,225.11
00:03.4,226.9,555.2,447.99,-151.98,221.49
00:03.4,229.95,557.91,449.41,-151.93,217.93
00:03.5,232.9,560.56,450.81,-151.89,214.31
00:03.5,235.75,563.17,452.2,-151.85,211.4
00:03.6,238.8,565.75,453.56,-151.84,207.9
00:03.6,241.55,568.27,454.91,-151.51,204.84
00:03.7,244.4,570.76,456.25,-151.02,201.69
00:03.7,247.2,573.2,457.57,-150.29,198.33
00:03.8,249.89,575.6,458.88,-149.55,195.03
00:03.8,252.54,577.95,460.19,-148.83,191.75
00:03.9,255.18,580.25,461.49,-148.15,188.66
00:03.9,257.88,582.5,462.78,-147.62,185.76
00:04.0,260.37,584.72,464.07,-147.07,182.93
00:04.0,262.76,586.88,465.36,-146.76,180.09
00:04.0,265.35,589,466.65,-146.76,177.15
00:04.1,267.64,591.08,467.93,-147.11,174.47
00:04.2,270.24,593.12,469.2,-147.64,172.21
00:04.2,272.53,595.14,470.47,-147.72,170.29
00:04.3,274.92,597.12,471.72,-147.48,167.69
00:04.3,277.41,599.07,472.96,-147.02,164.98
00:04.4,279.7,600.98,474.19,-146.2,162.06
00:04.4,281.99,602.85,475.41,-145.34,159.24
00:04.5,284.28,604.67,476.63,-144.73,156.45
00:04.5,286.56,606.45,477.85,-144.75,154.21
00:04.6,288.55,608.2,479.06,-144.52,152.19
00:04.6,290.84,609.92,480.27,-143.7,150.22
00:04.7,292.82,611.6,481.47,-143.1,147.77
00:04.7,294.96,613.24,482.68,-142.64,145.45
00:04.8,296.99,614.85,483.88,-142.01,143.01
00:04.8,299.08,616.41,485.08,-141.2,140.56
00:04.9,300.96,617.93,486.27,-140.54,138.21
00:04.9,303.04,619.42,487.46,-139.95,136.05
00:05.0,304.93,620.87,488.65,-139.22,133.73
00:05.0,306.86,622.28,489.84,-138.42,131.39
00:05.1,308.59,623.64,491.02,-137.63,129.07
00:05.1,310.52,624.97,492.2,-136.96,127.02
00:05.2,312.25,626.26,493.38,-136.3,125.03
00:05.2,314.03,627.52,494.56,-135.14,123.14
00:05.2,315.81,628.74,495.74,-133.99,121.09
00:05.3,317.54,629.92,496.92,-133.23,119.26
00:05.3,319.07,631.06,498.11,-132.34,117.59
00:05.4,320.9,632.16,499.3,-130.91,115.97
00:05.5,322.42,633.23,500.49,-129.15,114.34
00:05.5,323.95,634.26,501.68,-127.56,112.6
00:05.6,325.68,635.24,502.88,-126.19,110.9
00:05.6,327.31,636.18,504.09,-124.74,109.24
00:05.7,328.83,637.08,505.29,-123.28,107.65
