,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.9,199.12,124.32,148.39,-155.75,101.89
00:05.9,200.55,125.62,148.98,-155.99,103.39
00:06.0,201.99,126.94,149.58,-156.16,104.91
00:06.0,203.46,128.28,150.18,-156.26,106.33
00:06.1,204.95,129.64,150.78,-156.32,107.8
00:06.2,206.46,131.02,151.39,-156.28,109.33
00:06.2,207.99,132.42,152.01,-156.18,110.9
00:06.2,209.54,133.83,152.64,-156.03,112.65
00:06.3,211.12,135.27,153.28,-155.89,114.31
00:06.4,212.71,136.73,153.93,-155.73,115.83
00:06.4,214.33,138.21,154.6,-155.45,117.04
00:06.4,215.96,139.69,155.27,-155,118.15
00:06.5,217.61,141.19,155.96,-154.41,119.26
00:06.6,219.27,142.7,156.67,-153.53,120.14
00:06.6,220.95,144.21,157.39,-152.38,121.26
00:06.7,222.64,145.73,158.13,-151.26,122.37
00:06.7,224.35,147.26,158.89,-150.44,123.49
00:06.8,226.07,148.8,159.67,-149.8,124.58
00:06.8,227.8,150.34,160.47,-149.16,125.64
00:06.8,229.56,151.88,161.3,-148.5,126.7
00:06.9,231.32,153.43,162.14,-147.59,127.65
00:07.0,233.1,154.98,163.02,-146.33,128.59
00:07.0,234.89,156.53,163.91,-144.82,129.46
00:07.0,236.69,158.08,164.84,-143.05,130.23
00:07.1,238.49,159.63,165.78,-141.26,130.97
00:07.1,240.31,161.18,166.75,-139.92,131.61
00:07.2,242.14,162.72,167.73,-139.04,132.16
00:07.3,243.98,164.26,168.74,-138.45,132.68
00:07.3,245.82,165.79,169.77,-138.27,133.23
00:07.3,247.68,167.32,170.83,-138.57,133.83
00:07.4,249.54,168.84,171.91,-139.46,134.61
00:07.5,251.42,170.36,173.01,-141.16,135.76
00:07.5,253.32,171.88,174.13,-143.14,137.04
00:07.5,255.23,173.42,175.27,-144.32,138.33
00:07.6,257.16,174.98,176.4,-144.51,139.59
00:07.6,259.11,176.55,177.55,-143.82,140.86
00:07.7,261.08,178.13,178.72,-142.79,142.11
00:07.8,263.06,179.71,179.92,-141.8,143.31
00:07.8,265.06,181.29,181.14,-140.95,144.44
00:07.8,267.07,182.87,182.4,-140.07,145.52
00:07.9,269.1,184.44,183.68,-139.2,146.71
00:08.0,271.14,186.01,184.99,-138.71,147.84
00:08.0,273.2,187.58,186.33,-138.24,148.88
00:08.1,275.28,189.14,187.7,-137.56,150.01
00:08.1,277.37,190.7,189.09,-136.93,151.11
00:08.1,279.47,192.25,190.51,-136.15,152.14
00:08.2,281.59,193.8,191.96,-135.25,153.19
00:08.3,283.73,195.34,193.44,-134.31,154.19
00:08.3,285.88,196.87,194.95,-133.38,155.27
00:08.3,288.04,198.38,196.49,-132.89,156.32
00:08.4,290.22,199.89,198.06,-132.7,157.37
00:08.4,292.41,201.4,199.66,-132.61,158.38
00:08.5,294.62,202.91,201.27,-132.29,159.27
00:08.6,296.84,204.41,202.9,-131.72,160.45
00:08.6,299.07,205.92,204.55,-131.28,161.44
00:08.7,301.32,207.41,206.23,-130.82,162.48
00:08.7,303.59,208.91,207.93,-130.53,163.49
00:08.8,305.86,210.4,209.65,-130.33,164.46
00:08.8,308.16,211.89,211.39,-130.15,165.49
00:08.8,310.46,213.39,213.14,-130.09,166.47
00:08.9,312.78,214.89,214.91,-130.09,167.37
00:08.9,315.11,216.4,216.69,-130.2,168.36
00:09.0,317.46,217.92,218.48,-130.48,169.37
00:09.0,319.82,219.45,220.27,-130.77,170.35
00:09.1,322.19,221,222.07,-130.98,171.24
00:09.2,324.57,222.56,223.87,-131.2,172.11
00:09.2,326.97,224.13,225.68,-131.48,173.08
00:09.3,329.38,225.72,227.49,-131.75,174.03
00:09.3,331.8,227.33,229.3,-131.91,174.94
00:09.3,334.24,228.95,231.12,-132.09,175.89
00:09.4,336.69,230.59,232.94,-132.27,176.81
00:09.5,339.15,232.24,234.77,-132.46,177.69
00:09.5,341.62,233.9,236.6,-132.69,178.57
00:09.6,344.11,235.59,238.43,-132.92,179.46
00:09.6,346.61,237.28,240.27,-133.08,180.33
00:09.7,349.12,238.99,242.1,-133.22,181.2
00:09.7,351.64,240.71,243.95,-133.36,182.04
00:09.8,354.17,242.45,245.79,-133.53,182.9
00:09.8,356.72,244.2,247.64,-133.68,183.76
00:09.8,359.28,245.96,249.5,-133.84,184.58
00:09.9,361.85,247.73,251.36,-134.02,185.42
00:10.0,364.43,249.52,253.22,-134.24,186.26
00:10.0,367.02,251.32,255.08,-134.38,187.11
00:10.1,369.63,253.14,256.95,-134.4,187.92
00:10.1,372.24,254.96,258.82,-134.37,188.72
00:10.2,374.87,256.8,260.7,-134.35,189.52
00:10.2,377.51,258.64,262.59,-134.35,190.32
00:10.2,380.15,260.49,264.49,-134.37,191.07
