,sLapDistance,xCarX,xCarY,aYaw,vCar
00:05.7,237.32,-22.48,192.45,-31.98,73.84
00:05.7,238.35,-23.35,192.97,-30.16,73.3
00:05.8,239.36,-24.24,193.47,-28.16,72.89
00:05.8,240.37,-25.14,193.94,-25.99,72.64
00:05.8,241.38,-26.05,194.37,-23.91,72.57
00:05.9,242.39,-26.97,194.77,-22.09,72.62
00:05.9,243.4,-27.91,195.14,-20.53,72.81
00:06.0,244.42,-28.87,195.48,-19.01,73.1
00:06.0,245.43,-29.83,195.79,-17.25,73.38
00:06.1,246.46,-30.82,196.06,-15.21,73.79
00:06.2,247.49,-31.81,196.31,-13.09,74.19
00:06.2,248.52,-32.83,196.53,-11.11,74.64
00:06.2,249.57,-33.85,196.71,-9.38,75.17
00:06.3,250.61,-34.88,196.87,-7.94,75.74
00:06.4,251.67,-35.93,197,-6.74,76.4
00:06.4,252.74,-36.99,197.11,-5.74,77.14
00:06.4,253.81,-38.07,197.21,-5.06,78.06
00:06.5,254.91,-39.15,197.3,-4.79,79.22
00:06.6,256.02,-40.26,197.4,-5.01,80.51
00:06.6,257.14,-41.38,197.52,-5.8,81.31
00:06.7,258.27,-42.5,197.65,-7.19,81.03
00:06.7,259.39,-43.6,197.82,-9.22,80.41
00:06.8,260.51,-44.7,198.03,-11.55,79.8
00:06.8,261.61,-45.78,198.26,-13.76,79.23
00:06.8,262.71,-46.84,198.53,-15.85,78.62
00:06.9,263.8,-47.88,198.83,-18.15,77.99
00:07.0,264.88,-48.91,199.17,-20.39,77.48
00:07.0,265.96,-49.91,199.55,-22.34,77.15
00:07.0,267.03,-50.9,199.96,-24.12,76.81
00:07.1,268.09,-51.86,200.4,-25.96,76.31
00:07.1,269.15,-52.81,200.88,-27.73,75.78
00:07.2,270.2,-53.73,201.38,-29.44,75.24
00:07.3,271.24,-54.63,201.91,-31.23,74.71
00:07.3,272.27,-55.5,202.46,-33.2,74.16
00:07.3,273.3,-56.35,203.03,-35.41,73.58
