,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:05.1,282.76,-240.81,-130.7,66.58,149.66,,,
00:05.2,284.83,-241.7,-132.58,67.54,149.77,,,
00:05.2,286.91,-242.57,-134.47,68.96,149.92,,,
00:05.2,289,-243.42,-136.37,70.81,150.19,,,
00:05.3,291.08,-244.21,-138.3,72.19,150.46,,,
00:05.3,293.17,-244.97,-140.25,72.6,150.8,,,
00:05.4,295.27,-245.69,-142.22,72.88,151.46,,,
00:05.5,297.38,-246.38,-144.22,73.89,152.4,,,
00:05.5,299.51,-247.05,-146.23,74.7,153.61,,,
00:05.6,301.65,-247.68,-148.28,74.66,154.83,,,
00:05.6,303.81,-248.3,-150.35,74.02,156,,,
00:05.7,305.99,-248.92,-152.43,73.48,157.19,,,
00:05.7,308.18,-249.55,-154.53,73.18,158.3,,,
00:05.8,310.38,-250.18,-156.64,72.99,159.03,,,
00:05.8,312.59,-250.82,-158.76,72.61,159.31,,,
00:05.8,314.8,-251.47,-160.87,71.74,159.52,,,
00:05.9,317.02,-252.13,-162.99,70.65,160.55,,,
00:05.9,319.26,-252.82,-165.12,70.08,161.49,,,
00:06.0,321.51,-253.55,-167.25,69.85,162.33,,,
00:06.0,323.77,-254.31,-169.38,69.62,163.16,,,
00:06.1,326.04,-255.08,-171.52,69.25,164.07,,,
00:06.2,328.33,-255.88,-173.66,68.71,165.07,,,
00:06.2,330.63,-256.7,-175.81,67.84,166.17,,,
00:06.2,332.94,-257.54,-177.96,66.8,167.47,,,
00:06.3,335.28,-258.42,-180.13,66.04,168.76,,,
00:06.4,337.63,-259.33,-182.3,65.54,169.91,,,
00:06.4,340,-260.28,-184.47,65.11,171.07,,,
00:06.4,342.38,-261.25,-186.64,64.75,172.16,,,
00:06.5,344.78,-262.25,-188.82,64.19,173.22,,,
00:06.6,347.19,-263.27,-191.01,63.59,174.3,,,
00:06.6,349.61,-264.31,-193.2,63.41,174.2,,,
00:06.7,352.03,-265.37,-195.37,63.43,174.05,,,
00:06.7,354.45,-266.44,-197.54,63.46,173.89,,,
00:06.8,356.86,-267.51,-199.7,63.45,173.73,,,
00:06.8,359.28,-268.59,-201.86,63.39,173.58,,,
00:06.8,361.69,-269.66,-204.01,63.32,173.43,,,
00:06.9,364.09,-270.74,-206.17,63.25,173.29,,,
00:07.0,366.5,-271.82,-208.32,63.16,173.09,,,
00:07.0,368.9,-272.9,-210.46,63.11,172.87,,,
00:07.0,371.3,-273.98,-212.6,63.14,172.44,,,
00:07.1,373.69,-275.06,-214.74,63.29,171.46,,,
00:07.1,376.06,-276.12,-216.86,63.51,170.12,,,
00:07.2,378.41,-277.17,-218.96,63.77,168.5,,,
00:07.3,380.74,-278.2,-221.05,64.1,166.73,,,
00:07.3,383.04,-279.21,-223.12,64.61,164.92,,,
00:07.3,385.32,-280.2,-225.17,65.27,163.04,,,
00:07.4,387.57,-281.15,-227.21,65.87,161.25,,,
00:07.5,389.8,-282.08,-229.24,66.44,159.49,,,
00:07.5,392,-282.97,-231.25,67.14,157.75,,,
00:07.5,394.18,-283.83,-233.25,67.94,156.06,,,
00:07.6,396.33,-284.66,-235.24,68.73,154.4,,,
00:07.6,398.47,-285.46,-237.22,69.56,152.76,,,
00:07.7,400.58,-286.22,-239.19,70.52,151.14,,,
00:07.8,402.66,-286.94,-241.15,71.61,149.55,,,
00:07.8,404.73,-287.62,-243.1,72.82,147.96,,,
00:07.8,406.77,-288.27,-245.04,74.1,146.41,,,
00:07.9,408.79,-288.88,-246.97,75.27,144.88,,,
00:08.0,410.8,-289.45,-248.89,76.45,143.39,,,
00:08.0,412.77,-289.97,-250.8,77.6,141.93,,,
00:08.1,414.74,-290.46,-252.7,78.69,140.58,,,
00:08.1,416.68,-290.91,-254.59,79.72,139.22,,,
00:08.1,418.6,-291.32,-256.47,80.8,137.87,,,
00:08.2,420.5,-291.69,-258.34,82.03,136.45,,,
00:08.3,422.39,-292.02,-260.19,83.21,135.03,,,
00:08.3,424.25,-292.31,-262.04,84.27,133.63,,,
00:08.3,426.1,-292.55,-263.87,85.25,132.25,,,
00:08.4,427.92,-292.75,-265.68,86.2,130.84,,,
00:08.4,429.73,-292.92,-267.48,87.26,129.48,,,
00:08.5,431.52,-293.05,-269.27,88.42,128.18,,,
00:08.6,433.29,-293.14,-271.04,89.54,126.98,,,
00:08.6,435.04,-293.19,-272.79,90.66,125.85,,,
00:08.7,436.78,-293.21,-274.53,91.8,124.67,,,
00:08.7,438.51,-293.19,-276.26,93.12,123.47,,,
00:08.8,440.21,-293.13,-277.96,94.6,122.34,,,
00:08.8,441.9,-293.03,-279.65,95.88,121.21,,,
00:08.8,443.58,-292.9,-281.32,97.14,120.04,,,
00:08.9,445.23,-292.72,-282.97,98.6,118.91,,,
00:08.9,446.88,-292.51,-284.6,100.09,117.94,,,
00:09.0,448.51,-292.27,-286.21,101.5,117.09,,,
00:09.0,450.13,-291.98,-287.81,102.92,116.47,,,
00:09.1,451.74,-291.66,-289.39,104.32,116,,,
00:09.2,453.35,-291.29,-290.96,105.7,115.59,,,
00:09.2,454.95,-290.89,-292.51,107.07,115.2,,,
00:09.3,456.55,-290.46,-294.05,108.37,114.8,,,
00:09.3,458.14,-289.99,-295.57,109.7,114.5,,,
00:09.3,459.73,-289.48,-297.07,111.07,114.37,,,
00:09.4,461.32,-288.94,-298.57,112.37,114.39,,,
00:09.5,462.91,-288.37,-300.05,113.68,114.57,,,
00:09.5,464.5,-287.75,-301.52,115.03,114.87,,,
00:09.6,466.1,-287.1,-302.98,116.23,115.28,,,
00:09.6,467.7,-286.41,-304.43,117.29,115.72,,,
00:09.7,469.31,-285.69,-305.86,118.63,116.21,,,
00:09.7,470.93,-284.93,-307.29,120.15,116.8,,,
00:09.8,472.55,-284.14,-308.72,121.51,117.38,,,
00:09.8,474.19,-283.31,-310.13,122.85,118.01,,,
00:09.8,475.83,-282.45,-311.53,124.24,118.65,,,
00:09.9,477.48,-281.56,-312.91,125.55,119.28,,,
00:10.0,479.14,-280.62,-314.29,126.85,119.93,,,
00:10.0,480.81,-279.65,-315.65,128.06,120.61,,,
00:10.1,482.49,-278.64,-316.99,129.07,121.4,,,
00:10.1,484.18,-277.6,-318.33,129.91,122.3,,,
00:10.2,485.89,-276.53,-319.65,130.77,123.23,,,
00:10.2,487.6,-275.42,-320.96,131.69,124.25,,,
00:10.2,489.34,-274.28,-322.27,132.63,125.3,,,
00:10.3,491.08,-273.11,-323.56,133.69,126.31,,,
00:10.4,492.84,-271.91,-324.85,134.83,127.32,,,
00:10.4,494.62,-270.68,-326.14,135.98,128.33,,,
00:10.5,496.4,-269.42,-327.41,137.12,129.32,,,
00:10.5,498.21,-268.13,-328.67,138.31,130.31,,,
00:10.6,500.02,-266.81,-329.91,139.42,131.29,,,
00:10.6,501.85,-265.46,-331.14,140.07,132.27,,,
00:10.7,503.7,-264.07,-332.36,140.31,133.43,,,
00:10.7,505.56,-262.66,-333.57,140.61,134.72,,,
00:10.7,507.44,-261.22,-334.78,141.1,136.07,,,
00:10.8,509.34,-259.76,-335.99,141.93,137.4,,,
00:10.9,511.26,-258.26,-337.2,142.63,139.01,,,
00:10.9,513.2,-256.74,-338.41,143.02,140.58,,,
00:11.0,515.16,-255.19,-339.61,143.43,142.02,,,
00:11.0,517.14,-253.61,-340.8,143.97,143.43,,,
00:11.1,519.14,-252,-341.99,144.59,144.65,,,
00:11.1,521.15,-250.37,-343.18,145.02,144.72,,,
00:11.2,523.16,-248.74,-344.34,145.43,144.6,,,
00:11.2,525.17,-247.09,-345.49,145.74,144.46,,,
00:11.3,527.18,-245.44,-346.63,146.04,144.35,,,
00:11.3,529.18,-243.78,-347.76,146.36,144.24,,,
00:11.4,531.18,-242.12,-348.87,146.68,144.12,,,
00:11.4,533.18,-240.45,-349.97,147.02,143.99,,,
00:11.5,535.18,-238.78,-351.06,147.42,143.8,,,
00:11.5,537.18,-237.09,-352.14,147.89,143.62,,,
00:11.6,539.17,-235.41,-353.2,148.4,143.43,,,
00:11.6,541.16,-233.71,-354.25,148.93,143.25,,,
00:11.6,543.15,-232.01,-355.28,149.5,143.05,,,
00:11.7,545.14,-230.31,-356.29,150.08,142.74,,,
00:11.7,547.12,-228.6,-357.29,150.62,141.93,,,
00:11.8,549.08,-226.89,-358.25,151.11,140.73,,,
00:11.8,551.02,-225.19,-359.2,151.58,139.32,,,
00:11.9,552.95,-223.5,-360.12,152.05,137.73,,,
00:11.9,554.85,-221.83,-361.02,152.51,136.08,,,
00:12.0,556.73,-220.16,-361.89,153.01,134.38,,,
00:12.0,558.58,-218.51,-362.73,153.57,132.61,,,
00:12.1,560.41,-216.88,-363.55,154.16,130.81,,,
00:12.2,562.21,-215.26,-364.34,154.78,128.98,,,
00:12.2,563.99,-213.65,-365.1,155.47,127.12,,,
00:12.3,565.75,-212.06,-365.84,156.28,125.28,,,
00:12.3,567.47,-210.48,-366.54,157.18,123.43,,,
00:12.4,569.17,-208.91,-367.2,158.16,121.58,,,
00:12.4,570.85,-207.36,-367.84,159.18,119.76,,,
00:12.4,572.5,-205.83,-368.44,160.15,118.01,,,
00:12.5,574.13,-204.3,-369.01,161.08,116.33,,,
00:12.6,575.73,-202.79,-369.54,162.1,114.65,,,
00:12.6,577.31,-201.29,-370.04,163.21,112.96,,,
00:12.7,578.87,-199.8,-370.5,164.4,111.29,,,
00:12.7,580.4,-198.33,-370.92,165.57,109.67,,,
00:12.8,581.91,-196.86,-371.31,166.74,108.14,,,
00:12.8,583.4,-195.42,-371.66,167.96,106.66,,,
00:12.9,584.88,-193.98,-371.98,169.22,105.22,,,
00:12.9,586.33,-192.55,-372.26,170.52,103.81,,,
00:12.9,587.76,-191.14,-372.5,171.91,102.4,,,
00:13.0,589.17,-189.75,-372.71,173.44,101.01,,,
00:13.1,590.56,-188.37,-372.89,174.92,99.69,,,
00:13.1,591.94,-187,-373.03,176.29,98.44,,,
00:13.1,593.3,-185.64,-373.13,177.8,97.16,,,
00:13.2,594.64,-184.3,-373.2,107.41,95.84,,,
00:13.2,595.96,-182.98,-373.23,-179.07,94.54,,,
00:13.3,597.26,-181.68,-373.22,-177.63,93.25,,,
00:13.3,598.55,-180.39,-373.18,-176.17,91.96,,,
00:13.4,599.82,-179.13,-373.11,-174.66,90.75,,,
00:13.4,601.07,-177.88,-373,-173.09,89.81,,,
00:13.5,602.31,-176.64,-372.86,-171.41,89.02,,,
00:13.6,603.54,-175.43,-372.69,-169.64,88.22,,,
00:13.6,604.76,-174.23,-372.47,-167.88,87.4,,,
00:13.6,605.97,-173.04,-372.22,-166.26,86.58,,,
00:13.7,607.17,-171.88,-371.94,-164.67,85.79,,,
00:13.8,608.35,-170.74,-371.63,-162.95,85.08,,,
00:13.8,609.53,-169.61,-371.29,-161.13,84.48,,,
00:13.9,610.7,-168.5,-370.91,-159.34,83.94,,,
00:13.9,611.86,-167.41,-370.51,-157.62,83.38,,,
00:14.0,613.01,-166.34,-370.07,-155.92,82.81,,,
00:14.0,614.16,-165.3,-369.61,-154.18,82.23,,,
00:14.1,615.3,-164.27,-369.11,-152.4,81.67,,,
