,sLapDistance,xCarX,xCarY,aYaw,vCar
00:21.7,1903.6,-186.9,273.01,90.89,129.28
00:21.8,1905.39,-186.9,271.22,91.92,128.26
00:21.8,1907.16,-186.87,269.44,92.79,127.39
00:21.9,1908.92,-186.8,267.68,93.7,126.65
00:21.9,1910.68,-186.71,265.93,94.87,126.03
00:22.0,1912.43,-186.58,264.19,96.2,125.61
00:22.0,1914.17,-186.41,262.45,97.57,125.49
00:22.1,1915.91,-186.2,260.72,98.98,125.6
00:22.1,1917.66,-185.96,258.99,100.35,125.83
00:22.1,1919.41,-185.67,257.27,101.64,126.08
00:22.2,1921.16,-185.35,255.54,103.04,126.39
00:22.3,1922.92,-184.99,253.82,104.49,126.76
00:22.3,1924.68,-184.58,252.11,105.92,127.18
00:22.4,1926.45,-184.14,250.4,107.3,127.64
00:22.4,1928.22,-183.65,248.69,108.63,128.1
00:22.5,1930,-183.12,246.98,110,128.59
00:22.5,1931.79,-182.55,245.29,111.38,129.1
00:22.6,1933.59,-181.94,243.6,112.7,129.63
00:22.6,1935.39,-181.29,241.92,114.01,130.17
00:22.7,1937.2,-180.6,240.24,115.33,130.78
00:22.7,1939.02,-179.87,238.57,116.61,131.44
00:22.8,1940.85,-179.1,236.91,117.89,132.15
00:22.8,1942.69,-178.28,235.26,119.17,132.91
00:22.9,1944.54,-177.43,233.62,120.42,133.68
00:22.9,1946.4,-176.54,231.99,121.65,134.48
00:23.0,1948.27,-175.6,230.36,122.75,135.34
00:23.0,1950.16,-174.63,228.75,123.66,136.22
00:23.1,1952.05,-173.62,227.14,124.52,137.14
00:23.1,1953.97,-172.57,225.54,125.47,138.13
00:23.1,1955.89,-171.49,223.95,126.51,139.17
00:23.2,1957.83,-170.37,222.37,127.54,140.22
00:23.2,1959.78,-169.21,220.79,128.53,141.24
00:23.3,1961.75,-168.01,219.23,129.59,142.24
00:23.3,1963.73,-166.78,217.67,130.68,143.29
00:23.4,1965.73,-165.52,216.13,131.67,144.33
00:23.5,1967.74,-164.21,214.6,132.63,145.34
00:23.5,1969.76,-162.87,213.08,133.65,146.36
00:23.6,1971.8,-161.5,211.57,134.68,147.34
00:23.6,1973.86,-160.1,210.07,135.57,148.39
00:23.6,1975.92,-158.66,208.58,136.23,149.47
00:23.7,1978.01,-157.19,207.1,136.64,150.56
00:23.8,1980.1,-155.69,205.64,136.91,151.58
00:23.8,1982.22,-154.17,204.17,137.23,152.6
00:23.8,1984.34,-152.63,202.71,137.4,153.76
00:23.9,1986.49,-151.07,201.24,137.26,154.82
00:23.9,1988.64,-149.49,199.76,136.87,155.81
00:24.0,1990.81,-147.91,198.28,136.26,156.64
00:24.0,1992.99,-146.33,196.77,135.39,157.56
