,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:05.1,211.35,-7.88,171.94,-71.69,83.55,,,
00:05.2,212.51,-8.24,173.04,-70.29,82.5,,,
00:05.2,213.65,-8.62,174.11,-68.9,81.5,,,
00:05.2,214.77,-9.03,175.16,-67.61,80.55,,,
00:05.3,215.88,-9.45,176.19,-66.47,79.57,,,
00:05.3,216.98,-9.89,177.2,-65.38,78.54,,,
00:05.4,218.06,-10.35,178.18,-64.23,77.44,,,
00:05.5,219.13,-10.81,179.14,-63.02,76.37,,,
00:05.5,220.19,-11.3,180.07,-61.78,75.34,,,
00:05.6,221.23,-11.8,180.99,-60.56,74.31,,,
00:05.6,222.25,-12.31,181.88,-59.25,73.29,,,
00:05.7,223.26,-12.84,182.74,-57.75,72.35,,,
00:05.7,224.26,-13.38,183.57,-56.2,71.49,,,
00:05.8,225.25,-13.94,184.39,-54.68,70.69,,,
00:05.8,226.23,-14.52,185.18,-53.22,69.93,,,
00:05.8,227.2,-15.11,185.94,-51.68,69.2,,,
00:05.9,228.15,-15.71,186.68,-50.07,68.55,,,
00:05.9,229.1,-16.33,187.4,-48.38,68.01,,,
00:06.0,230.05,-16.97,188.09,-46.65,67.6,,,
00:06.0,230.98,-17.62,188.77,-44.92,67.27,,,
00:06.1,231.92,-18.28,189.42,-43.22,66.95,,,
00:06.2,232.85,-18.97,190.04,-41.54,66.63,,,
00:06.2,233.77,-19.67,190.65,-39.89,66.32,,,
00:06.2,234.69,-20.38,191.22,-38.28,66,,,
00:06.3,235.61,-21.11,191.78,-36.69,65.71,,,
00:06.4,236.52,-21.85,192.31,-35.11,65.42,,,
00:06.4,237.42,-22.6,192.82,-33.51,65.14,,,
00:06.4,238.33,-23.36,193.3,-31.87,64.85,,,
00:06.5,239.23,-24.13,193.76,-30.13,64.56,,,
00:06.6,240.12,-24.91,194.2,-28.29,64.26,,,
00:06.6,241.02,-25.7,194.61,-26.43,63.97,,,
00:06.7,241.91,-26.5,194.99,-24.62,63.81,,,
00:06.7,242.79,-27.32,195.34,-22.93,64.01,,,
00:06.8,243.69,-28.14,195.68,-21.46,64.46,,,
00:06.8,244.59,-28.99,195.99,-20.11,64.99,,,
00:06.8,245.49,-29.84,196.28,-18.69,65.56,,,
00:06.9,246.41,-30.72,196.56,-17.15,66.17,,,
00:07.0,247.34,-31.61,196.81,-15.6,66.76,,,
00:07.0,248.27,-32.51,197.04,-14.09,67.35,,,
00:07.0,249.21,-33.42,197.25,-12.67,67.94,,,
00:07.1,250.16,-34.35,197.44,-11.32,68.36,,,
00:07.1,251.11,-35.29,197.6,-9.98,68.26,,,
00:07.2,252.05,-36.22,197.74,-8.42,68.04,,,
00:07.3,253,-37.16,197.86,-6.9,67.84,,,
00:07.3,253.94,-38.09,197.97,-5.84,67.66,,,
00:07.3,254.88,-39.03,198.06,-5.25,67.48,,,
00:07.4,255.82,-39.96,198.14,-4.99,67.3,,,
00:07.5,256.75,-40.89,198.22,-4.92,67.12,,,
00:07.5,257.68,-41.82,198.3,-5.06,66.94,,,
00:07.5,258.61,-42.74,198.39,-5.49,66.75,,,
00:07.6,259.54,-43.66,198.5,-6.24,66.55,,,
00:07.6,260.46,-44.57,198.61,-7.35,66.32,,,
00:07.7,261.38,-45.48,198.75,-8.76,66.06,,,
00:07.8,262.3,-46.38,198.92,-10.37,65.76,,,
00:07.8,263.21,-47.27,199.1,-12.22,65.43,,,
00:07.8,264.12,-48.15,199.32,-14.21,65.13,,,
00:07.9,265.03,-49.02,199.56,-16.13,64.83,,,
00:08.0,265.93,-49.88,199.83,-17.98,64.5,,,
00:08.0,266.82,-50.72,200.13,-19.83,64.17,,,
00:08.1,267.71,-51.55,200.45,-21.73,63.85,,,
00:08.1,268.6,-52.36,200.8,-23.6,63.55,,,
00:08.1,269.48,-53.16,201.17,-25.34,63.25,,,
00:08.2,270.36,-53.94,201.56,-27.05,62.94,,,
00:08.3,271.23,-54.71,201.98,-28.77,62.64,,,
00:08.3,272.1,-55.46,202.41,-30.58,62.32,,,
00:08.3,272.97,-56.2,202.87,-32.51,61.99,,,
00:08.4,273.83,-56.91,203.34,-34.48,61.68,,,
00:08.4,274.69,-57.6,203.84,-36.36,61.37,,,
00:08.5,275.54,-58.28,204.36,-38.11,61.06,,,
00:08.6,276.39,-58.93,204.9,-39.83,60.74,,,
00:08.6,277.23,-59.56,205.45,-41.62,60.44,,,
00:08.7,278.07,-60.17,206.03,-43.48,60.28,,,
00:08.7,278.91,-60.76,206.62,-45.33,60.35,,,
00:08.8,279.75,-61.33,207.23,-47.12,60.54,,,
00:08.8,280.6,-61.89,207.87,-48.86,60.84,,,
00:08.8,281.45,-62.43,208.52,-50.58,61.25,,,
00:08.9,282.31,-62.95,209.2,-52.3,61.78,,,
00:08.9,283.17,-63.46,209.89,-53.9,62.35,,,
00:09.0,284.04,-63.96,210.61,-55.38,62.93,,,
00:09.0,284.92,-64.43,211.34,-56.86,63.56,,,
00:09.1,285.81,-64.9,212.1,-58.44,64.22,,,
00:09.2,286.71,-65.35,212.87,-60.05,64.88,,,
00:09.2,287.62,-65.78,213.67,-61.65,65.53,,,
00:09.3,288.53,-66.19,214.49,-63.2,66.2,,,
00:09.3,289.46,-66.59,215.32,-64.71,66.87,,,
00:09.3,290.39,-66.97,216.17,-66.21,67.52,,,
00:09.4,291.34,-67.33,217.04,-67.7,68.19,,,
00:09.5,292.29,-67.68,217.93,-69.21,68.9,,,
