,sLapDistance,xCarX,xCarY,aYaw,vCar
00:06.1,345,58.78,12.78,2.05,189.55
00:06.2,347.63,56.16,12.69,2.05,189.29
00:06.2,350.26,53.53,12.59,2.05,189.03
00:06.2,352.88,50.91,12.5,2.06,188.76
00:06.3,355.5,48.29,12.4,2.07,188.5
00:06.4,358.12,45.67,12.31,2.09,188.25
00:06.4,360.73,43.06,12.21,2.11,187.98
00:06.4,363.34,40.46,12.11,2.13,187.72
00:06.5,365.95,37.85,12.02,2.13,187.45
00:06.6,368.55,35.25,11.92,2.13,187.2
00:06.6,371.15,32.66,11.82,2.13,186.94
00:06.7,373.74,30.06,11.72,2.12,186.68
00:06.7,376.33,27.48,11.63,2.12,186.41
00:06.8,378.92,24.89,11.53,2.12,186.16
00:06.8,381.5,22.31,11.43,2.12,185.91
00:06.8,384.08,19.73,11.34,2.14,185.65
00:06.9,386.66,17.15,11.24,2.16,185.38
00:07.0,389.23,14.58,11.14,2.18,185.13
00:07.0,391.8,12.02,11.05,2.19,184.89
00:07.0,394.37,9.45,10.95,2.2,184.65
00:07.1,396.93,6.89,10.85,2.22,184.4
00:07.1,399.49,4.33,10.75,2.24,184.14
00:07.2,402.05,1.78,10.65,2.26,183.88
00:07.3,404.6,-0.77,10.55,2.28,183.63
00:07.3,407.15,-3.32,10.45,2.29,183.37
00:07.3,409.69,-5.86,10.34,2.3,183.12
00:07.4,412.23,-8.4,10.24,2.32,182.87
00:07.5,414.77,-10.94,10.14,2.32,182.63
00:07.5,417.31,-13.47,10.04,2.33,182.38
00:07.5,419.84,-16,9.93,2.36,182.13
00:07.6,422.37,-18.52,9.83,2.39,181.88
00:07.6,424.89,-21.05,9.72,2.43,181.64
00:07.7,427.41,-23.57,9.61,2.45,181.4
00:07.8,429.93,-26.08,9.51,2.48,181.16
00:07.8,432.44,-28.59,9.4,2.54,180.92
00:07.8,434.95,-31.1,9.29,2.59,180.67
00:07.9,437.46,-33.61,9.17,2.65,180.43
00:08.0,439.97,-36.11,9.06,2.7,180.19
00:08.0,442.47,-38.61,8.94,2.76,179.95
00:08.1,444.96,-41.1,8.82,2.8,179.71
00:08.1,447.46,-43.59,8.7,2.86,179.47
00:08.1,449.95,-46.08,8.58,2.91,179.23
00:08.2,452.44,-48.56,8.45,2.95,178.98
00:08.3,454.92,-51.05,8.32,2.99,178.73
00:08.3,457.4,-53.52,8.2,3.03,178.49
00:08.3,459.88,-56,8.07,3.04,178.25
00:08.4,462.35,-58.47,7.93,3.05,178.02
00:08.4,464.83,-60.93,7.8,3.05,177.79
00:08.5,467.29,-63.4,7.67,3.06,177.55
00:08.6,469.76,-65.86,7.54,3.08,177.31
00:08.6,472.22,-68.32,7.41,3.08,177.07
00:08.7,474.68,-70.77,7.27,3.07,176.84
00:08.7,477.13,-73.22,7.14,3.05,176.61
00:08.8,479.58,-75.67,7.01,3.02,176.38
00:08.8,482.03,-78.11,6.88,2.99,176.12
00:08.8,484.47,-80.55,6.75,2.97,175.65
00:08.9,486.91,-82.99,6.62,2.94,175.15
00:08.9,489.34,-85.41,6.49,2.9,174.47
00:09.0,491.75,-87.83,6.37,2.87,173.66
00:09.0,494.16,-90.23,6.25,2.82,172.77
