,sLapDistance,xCarX,xCarY,vCar
00:06.6,304.03,-149.91,-11.84,174.5
00:06.7,306.46,-147.53,-11.37,176.11
00:06.7,308.92,-145.13,-10.88,177.63
00:06.8,311.4,-142.71,-10.37,179.11
00:06.8,313.9,-140.28,-9.86,180.56
00:06.8,316.41,-137.83,-9.33,181.93
00:06.9,318.95,-135.36,-8.8,183.38
00:07.0,321.51,-132.87,-8.25,184.85
00:07.0,324.09,-130.36,-7.69,186.23
00:07.0,326.68,-127.84,-7.12,187.59
00:07.1,329.29,-125.3,-6.54,188.94
00:07.1,331.93,-122.74,-5.95,190.28
00:07.2,334.58,-120.17,-5.36,191.61
00:07.3,337.25,-117.58,-4.75,192.93
00:07.3,339.94,-114.97,-4.13,194.24
00:07.3,342.65,-112.35,-3.49,195.52
00:07.4,345.37,-109.72,-2.85,196.79
00:07.5,348.11,-107.06,-2.2,198.05
00:07.5,350.87,-104.4,-1.53,199.3
00:07.5,353.65,-101.71,-0.86,200.53
00:07.6,356.44,-99.01,-0.18,201.74
00:07.6,359.25,-96.3,0.51,202.94
00:07.7,362.08,-93.57,1.21,204.11
00:07.8,364.92,-90.83,1.91,205.29
00:07.8,367.78,-88.07,2.62,206.46
00:07.8,370.66,-85.3,3.34,207.6
00:07.9,373.55,-82.51,4.06,208.74
00:08.0,376.45,-79.71,4.79,209.84
00:08.0,379.38,-76.89,5.53,210.93
00:08.1,382.31,-74.06,6.28,212.06
00:08.1,385.27,-71.22,7.03,213.15
00:08.1,388.23,-68.37,7.8,214.21
00:08.2,391.22,-65.5,8.57,215.28
00:08.3,394.21,-62.62,9.35,216.33
00:08.3,397.23,-59.72,10.13,217.37
00:08.3,400.25,-56.81,10.92,218.41
00:08.4,403.29,-53.89,11.71,219.43
00:08.4,406.35,-50.95,12.5,220.44
00:08.5,409.42,-48,13.29,221.44
00:08.6,412.5,-45.04,14.09,222.43
00:08.6,415.6,-42.06,14.89,223.4
00:08.7,418.71,-39.07,15.7,224.37
00:08.7,421.83,-36.07,16.51,225.32
00:08.8,424.96,-33.06,17.32,226.25
00:08.8,428.11,-30.03,18.13,227.18
00:08.8,431.27,-26.99,18.94,228.09
00:08.9,434.45,-23.93,19.75,229.01
00:08.9,437.63,-20.87,20.56,229.94
00:09.0,440.84,-17.78,21.37,230.85
00:09.0,444.05,-14.69,22.19,231.75
00:09.1,447.27,-11.59,23,232.64
00:09.2,450.51,-8.47,23.83,233.5
00:09.2,453.76,-5.34,24.66,234.38
00:09.3,457.02,-2.21,25.5,235.24
00:09.3,460.29,0.94,26.36,236.09
00:09.3,463.58,4.09,27.24,236.93
00:09.4,466.87,7.25,28.13,237.75
00:09.5,470.18,10.41,29.05,238.56
00:09.5,473.5,13.58,29.99,239.35
00:09.6,476.83,16.75,30.96,240.15
00:09.6,480.17,19.93,31.95,240.93
00:09.7,483.52,23.1,32.97,241.71
00:09.7,486.89,26.28,34.02,242.48
00:09.8,490.26,29.46,35.09,243.21
00:09.8,493.64,32.65,36.19,243.92
00:09.8,497.03,35.83,37.32,244.6
00:09.9,500.43,39.02,38.47,245.3
00:10.0,503.84,42.2,39.66,245.99
00:10.0,507.26,45.38,40.9,246.67
00:10.1,510.69,48.55,42.18,247.35
00:10.1,514.13,51.72,43.5,248.04
00:10.2,517.58,54.87,44.86,248.74
00:10.2,521.04,58.03,46.24,249.42
